num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
4,0.075,"[0.43167975544929504, 0.41257861256599426, 0.4139731526374817, 0.4176104664802551, 0.41030097007751465]","[0.818, 0.8403333333333334, 0.829, 0.829, 0.834]","[0.7177970439195633, 0.8946708053350448, 0.9722830283641816, 0.7567812573909759, 0.841606884598732]","[0.7172933333333333, 0.6791200000000001, 0.6744466666666666, 0.7076566666666667, 0.6831366666666667]"
4,0.1,"[0.46554332971572876, 0.4428354799747467, 0.4929739236831665, 0.44366055727005005, 0.47606298327445984]","[0.7896666666666666, 0.8026666666666666, 0.7753333333333333, 0.799, 0.798]","[1.0267142868041992, 0.9100541567802429, 1.090099595785141, 0.8829475128650666, 1.0992688357830047]","[0.6465566666666667, 0.6701466666666669, 0.6375899999999999, 0.6668166666666666, 0.64174]"
4,0.125,"[0.5701220035552979, nan, 0.5990517735481262, 0.5398305058479309, 0.5214043259620667]","[0.7366666666666667, 0.3333333333333333, 0.7483333333333333, 0.7583333333333333, 0.7586666666666667]","[1.2424979257583617, nan, 2.0185385084152223, 1.230075170993805, 1.1378601443767549]","[0.6145233333333333, 0.3333333333333334, 0.5665566666666667, 0.6172133333333334, 0.6007100000000001]"
4,0.15,"[nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
4,0.175,"[nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
4,0.2,"[nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
