num_tiles,digital_losses,digital_accuracies
1,"[0.45887377858161926, 0.46020594239234924, nan, 0.45835742354393005, 0.4371075928211212, 0.4257068634033203, 0.479590505361557, 0.45649561285972595, 0.5310671925544739, 0.4722205698490143]","[0.7903333333333333, 0.8126666666666666, 0.3333333333333333, 0.7953333333333333, 0.8026666666666666, 0.8053333333333333, 0.782, 0.8073333333333333, 0.729, 0.7703333333333333]"
4,"[0.4825688600540161, 0.4999375343322754, 0.4957887828350067, 0.4591919779777527, 0.48927417397499084, 0.4909619688987732, 0.4720003306865692, 0.48380619287490845, 0.47403600811958313, 0.48192399740219116]","[0.7826666666666666, 0.7793333333333333, 0.7693333333333333, 0.8103333333333333, 0.7873333333333333, 0.7796666666666666, 0.797, 0.802, 0.79, 0.7766666666666666]"
8,"[0.5251474380493164, 0.5023950934410095, 0.5647011399269104, 0.5284346342086792, 0.5184851288795471, 0.5468471050262451, 0.556592583656311, 0.5619174242019653, 0.5111536979675293, 0.4953298270702362]","[0.7893333333333333, 0.7883333333333333, 0.7533333333333333, 0.767, 0.7676666666666667, 0.7493333333333333, 0.7503333333333333, 0.7146666666666667, 0.7783333333333333, 0.766]"
16,"[0.6655425429344177, 0.6828609108924866, 0.6228697299957275, 0.6261852979660034, 0.6154006719589233, 0.636872410774231, 0.647153377532959, 0.6427977681159973, 0.6282668709754944, 0.6477422118186951]","[0.7133333333333334, 0.672, 0.7173333333333334, 0.701, 0.6956666666666667, 0.716, 0.6743333333333333, 0.6946666666666667, 0.717, 0.713]"
32,"[0.7665325403213501, 0.721520185470581, 0.7309474945068359, 0.732626736164093, 0.7188782691955566, 0.7605142593383789, 0.7069858312606812, 0.7320048809051514, 0.7435837388038635, 0.7272918820381165]","[0.6253333333333333, 0.6696666666666666, 0.658, 0.64, 0.6726666666666666, 0.64, 0.6863333333333334, 0.6226666666666667, 0.65, 0.7003333333333334]"
64,"[0.8404560685157776, 0.8890922665596008, 0.8747243881225586, 0.869589626789093, 0.9189088344573975, 0.8447014093399048, 0.8144035935401917, 0.8180931210517883, 0.7696704268455505, 0.8456244468688965]","[0.566, 0.4886666666666667, 0.5633333333333334, 0.5303333333333333, 0.5126666666666667, 0.5653333333333334, 0.6213333333333333, 0.5913333333333334, 0.632, 0.6003333333333334]"
