num_tiles,digital_losses,digital_accuracies
1,"[0.47517073154449463, nan, 0.4490154981613159, 0.5130133628845215, 0.4518067240715027, 0.5685102343559265, 0.5379142761230469, 0.4803944528102875, 0.4420015513896942, 0.4911492168903351]","[0.8063333333333333, 0.3333333333333333, 0.799, 0.79, 0.8066666666666666, 0.766, 0.776, 0.7866666666666666, 0.807, 0.7896666666666666]"
4,"[0.47992566227912903, 0.45667558908462524, 0.49966907501220703, 0.4471389055252075, 0.5254938006401062, 0.4635894298553467, 0.4516259431838989, 1.0110305547714233, 0.5467265248298645, 0.4785606265068054]","[0.8006666666666666, 0.809, 0.7653333333333333, 0.8136666666666666, 0.7576666666666667, 0.793, 0.8176666666666667, 0.658, 0.7796666666666666, 0.785]"
8,"[0.478186696767807, 0.5033844709396362, 0.48049214482307434, 0.48095211386680603, 0.491554856300354, 0.4954010546207428, 0.4664221704006195, 0.5037649869918823, 0.4901810586452484, 0.5307901501655579]","[0.7716666666666666, 0.7856666666666666, 0.809, 0.799, 0.7803333333333333, 0.8023333333333333, 0.7926666666666666, 0.767, 0.764, 0.7766666666666666]"
16,"[0.5277945399284363, 0.512528121471405, 0.5198062658309937, 0.4836277365684509, 0.48335421085357666, 0.4854600429534912, 0.4730824828147888, 0.5011875629425049, 0.48803892731666565, 0.49341922998428345]","[0.7646666666666667, 0.758, 0.7223333333333334, 0.7816666666666666, 0.786, 0.771, 0.788, 0.791, 0.7866666666666666, 0.761]"
32,"[0.4958636462688446, 0.5277912020683289, 0.46371346712112427, 0.44611623883247375, 0.47519659996032715, 0.49967965483665466, 0.47521156072616577, 0.4807499051094055, 0.48078370094299316, 0.48476266860961914]","[0.798, 0.7466666666666667, 0.8203333333333334, 0.814, 0.781, 0.7916666666666666, 0.7776666666666666, 0.79, 0.795, 0.806]"
64,"[0.5253810882568359, 0.4976525902748108, 0.5162227153778076, 0.5184677243232727, 0.4745042026042938, 0.5373556613922119, 0.4948272407054901, 0.4658382833003998, 0.49822238087654114, 0.4747152626514435]","[0.777, 0.748, 0.7806666666666666, 0.763, 0.8003333333333333, 0.731, 0.7643333333333333, 0.8006666666666666, 0.7696666666666667, 0.8133333333333334]"
