num_tiles,digital_losses,digital_accuracies
1,"[0.474501371383667, nan, 0.45430952310562134, 0.478271484375, 0.4742661416530609, 0.49455520510673523, 0.5094890594482422, 0.44665229320526123, 0.7465602159500122, 0.44945457577705383]","[0.7916666666666666, 0.3333333333333333, 0.774, 0.769, 0.798, 0.7636666666666667, 0.7793333333333333, 0.81, 0.7273333333333334, 0.8033333333333333]"
4,"[0.46024397015571594, 0.5582417249679565, 0.4784490466117859, 0.47102847695350647, 0.4450199007987976, 0.4615645408630371, 0.47572627663612366, 0.5629675984382629, 0.45194727182388306, 0.5020212531089783]","[0.7786666666666666, 0.7133333333333334, 0.7963333333333333, 0.795, 0.8083333333333333, 0.826, 0.7883333333333333, 0.7473333333333333, 0.8113333333333334, 0.757]"
8,"[0.5296468734741211, 0.509279191493988, 0.5118235945701599, 0.4626442492008209, 0.5031467080116272, 0.465939462184906, 0.46018195152282715, 0.46709156036376953, 0.5198864936828613, 0.5294243097305298]","[0.7856666666666666, 0.7563333333333333, 0.777, 0.8103333333333333, 0.784, 0.8003333333333333, 0.8093333333333333, 0.7936666666666666, 0.74, 0.7593333333333333]"
16,"[0.48613154888153076, 0.48174190521240234, 0.524697482585907, 0.49738219380378723, 0.5067318677902222, 0.4667099118232727, 0.5788794159889221, 0.4825389087200165, 0.4715050756931305, 0.48391008377075195]","[0.766, 0.7796666666666666, 0.7743333333333333, 0.7693333333333333, 0.7803333333333333, 0.792, 0.701, 0.792, 0.8056666666666666, 0.8123333333333334]"
32,"[0.491671621799469, 0.5142439603805542, 0.5242167711257935, 0.5108010172843933, 0.49410298466682434, 0.46522384881973267, 0.4589945077896118, 0.48089417815208435, 0.5601451992988586, 0.508542537689209]","[0.792, 0.7536666666666667, 0.7516666666666667, 0.8073333333333333, 0.7696666666666667, 0.8043333333333333, 0.7953333333333333, 0.7843333333333333, 0.7616666666666667, 0.7576666666666667]"
64,"[0.4813421964645386, 0.5119944214820862, 0.48886847496032715, 0.5574471950531006, 0.5068208575248718, 0.5099501013755798, 0.5343565940856934, 0.49312615394592285, 0.4811815321445465, 0.49470528960227966]","[0.788, 0.7723333333333333, 0.7903333333333333, 0.734, 0.7773333333333333, 0.79, 0.7503333333333333, 0.7766666666666666, 0.798, 0.757]"
