num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
4,0.075,"[0.4098201096057892, 0.40386343002319336, 0.4424820840358734, 0.38181257247924805, 0.40856409072875977]","[0.8393333333333334, 0.8266666666666667, 0.8063333333333333, 0.854, 0.8266666666666667]","[0.6797822159528732, 0.8386532151699067, 1.2215452992916107, 0.7023776191473007, 1.1428776144981385]","[0.7357699999999998, 0.7051, 0.6448233333333333, 0.7452266666666665, 0.65073]"
4,0.1,"[0.4453025162220001, 0.4646374583244324, 0.4288623332977295, 0.45616552233695984, 0.46730032563209534]","[0.8073333333333333, 0.8123333333333334, 0.8303333333333334, 0.7866666666666666, 0.8016666666666666]","[0.9907322734594345, 1.0981296718120575, 0.878465343117714, 0.8825458312034606, 1.0441422563791276]","[0.65833, 0.6450499999999999, 0.6851700000000001, 0.6706200000000001, 0.6502666666666667]"
4,0.125,"[0.523809015750885, 0.5262077450752258, nan, 0.5443154573440552, 0.5529316663742065]","[0.7606666666666667, 0.755, 0.3333333333333333, 0.748, 0.7076666666666667]","[1.050061926841736, 1.4054729330539704, nan, 0.9926405298709869, 0.9501295518875122]","[0.6201833333333334, 0.5937333333333332, 0.3333333333333334, 0.63246, 0.6088033333333334]"
4,0.15,"[nan, nan, 0.6179898381233215, 0.6173266768455505, 0.6174403429031372]","[0.3333333333333333, 0.3333333333333333, 0.745, 0.724, 0.7186666666666667]","[nan, nan, 1.4270386350154878, 1.505751690864563, 1.2704315316677093]","[0.3333333333333334, 0.3333333333333334, 0.5840333333333334, 0.5626433333333334, 0.58337]"
4,0.175,"[0.6939226984977722, nan, nan, nan, nan]","[0.6866666666666666, 0.645, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.60214320063591, nan, nan, nan, nan]","[0.5517500000000001, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
4,0.2,"[0.8858476281166077, 0.7732574939727783, nan, nan, nan]","[0.645, 0.6783333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.6304648435115814, 1.6389435136318207, nan, nan, nan]","[0.5277533333333334, 0.5406366666666667, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
