num_tiles,noise,digital_losses,digital_accuracies,analog_losses,analog_accuracies
16,0.0,"[0.4590507745742798, 0.40222159028053284, 0.3746534287929535, 0.4417809247970581, 0.4117993116378784, 0.4660639762878418, 0.43513286113739014, 0.40368109941482544, 0.4101657569408417, 0.36927852034568787]","[0.7823333333333333, 0.8463333333333334, 0.8666666666666667, 0.8493333333333334, 0.8433333333333334, 0.7873333333333333, 0.812, 0.857, 0.855, 0.86]","[0.5063813173770905, 0.4593514159321785, 0.4464135244488716, 0.48852746218442916, 0.48021451354026795, 0.5415253129601478, 0.49471289813518526, 0.4614776527881622, 0.46540453970432283, 0.42096984773874285]","[0.7680466666666667, 0.8121499999999999, 0.8334833333333335, 0.8119433333333335, 0.82551, 0.7657766666666666, 0.7955166666666668, 0.8216333333333332, 0.8299633333333333, 0.8361133333333335]"
16,0.05,"[0.4289228618144989, 0.4287985563278198, 0.4073333740234375, 0.44274643063545227, 0.4072006046772003, 0.4138517379760742, 0.43270525336265564, 0.41303205490112305, 0.47627416253089905, 0.4188006520271301]","[0.8233333333333334, 0.819, 0.8346666666666667, 0.813, 0.849, 0.8303333333333334, 0.8336666666666667, 0.8413333333333334, 0.767, 0.8413333333333334]","[0.5981902515888214, 0.6074348878860474, 0.6102711528539657, 0.6065290969610214, 0.5674549454450607, 0.6110719430446625, 0.6091244477033615, 0.6280993407964707, 0.6496509420871734, 0.5939330464601517]","[0.7476566666666669, 0.7437433333333332, 0.7510233333333335, 0.7524466666666667, 0.7828066666666667, 0.7496733333333334, 0.7437266666666664, 0.7490899999999999, 0.7282666666666668, 0.7697033333333336]"
16,0.1,"[0.4864790141582489, 0.5099613070487976, 0.5003318786621094, nan, 0.4942076802253723, 0.485565185546875, 0.4804118573665619, 0.48641857504844666, 0.46494120359420776, 0.5016934275627136]","[0.78, 0.796, 0.7696666666666667, 0.3333333333333333, 0.7763333333333333, 0.762, 0.7976666666666666, 0.765, 0.8196666666666667, 0.7873333333333333]","[0.8797626626491547, 0.8910453432798385, 0.8860524588823319, nan, 0.881221284866333, 0.9063361358642578, 0.9273355996608734, 0.8526336634159088, 0.8255062210559845, 0.8824270844459534]","[0.6628700000000001, 0.6636133333333334, 0.6603866666666666, 0.3333333333333334, 0.6616966666666666, 0.6597066666666666, 0.6591899999999999, 0.6689499999999999, 0.6842466666666668, 0.6585766666666666]"
16,0.15,"[nan, 0.5978007912635803, nan, nan, 0.6377060413360596, nan, nan, nan, nan, nan]","[0.3333333333333333, 0.7356666666666667, 0.3333333333333333, 0.3333333333333333, 0.7193333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, 1.1700293517112732, nan, nan, 1.1652662944793701, nan, nan, nan, nan, nan]","[0.3333333333333334, 0.5896066666666667, 0.3333333333333334, 0.3333333333333334, 0.6012066666666667, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
16,0.2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
64,0.0,"[0.4293348491191864, 0.4247197210788727, 0.4030126631259918, 0.48240330815315247, 0.41621577739715576, 0.4849347472190857, 0.4159969389438629, 0.39115872979164124, 0.41991889476776123, 0.4029613733291626]","[0.8516666666666667, 0.8513333333333334, 0.8393333333333334, 0.777, 0.7923333333333333, 0.822, 0.844, 0.8636666666666667, 0.8306666666666667, 0.8596666666666667]","[0.4750246599316597, 0.475757694542408, 0.45011586576700213, 0.5206961423158646, 0.45701898574829103, 0.5339921742677689, 0.47572327226400374, 0.44603673815727235, 0.4712205746769905, 0.4554702204465866]","[0.8253466666666667, 0.8227766666666667, 0.8186933333333333, 0.7679033333333333, 0.78986, 0.7867066666666667, 0.8223666666666668, 0.8359966666666666, 0.80402, 0.8335166666666666]"
64,0.05,"[0.43593260645866394, 0.4480419456958771, 0.41192784905433655, 0.434174507856369, 0.47442159056663513, 0.42367130517959595, 0.4282345473766327, 0.42216357588768005, 0.4278339147567749, 0.44140782952308655]","[0.821, 0.8056666666666666, 0.858, 0.8423333333333334, 0.775, 0.8363333333333334, 0.8206666666666667, 0.8326666666666667, 0.83, 0.8156666666666667]","[0.5685284835100174, 0.5783623564243316, 0.5635201662778855, 0.5834194213151932, 0.6177795898914337, 0.5813954383134842, 0.5690307468175888, 0.5583397817611694, 0.5866831183433533, 0.5991377764940262]","[0.7604133333333333, 0.7392599999999999, 0.7820866666666667, 0.7754133333333333, 0.73268, 0.7705599999999998, 0.7672866666666667, 0.7657200000000002, 0.7494033333333334, 0.7468766666666664]"
64,0.1,"[0.539701521396637, 0.5181952118873596, 0.5511669516563416, 0.5290719270706177, 0.5015027523040771, 0.5131496787071228, 0.4861341118812561, 0.4735175669193268, nan, 0.5039987564086914]","[0.7633333333333333, 0.75, 0.7306666666666667, 0.7353333333333333, 0.771, 0.79, 0.817, 0.7983333333333333, 0.3333333333333333, 0.783]","[0.9173551017045974, 0.8409750533103942, 0.8501942092180252, 0.8433088064193726, 0.8433941900730133, 0.8964051735401154, 0.8475147527456284, 0.840014443397522, nan, 0.8537106722593307]","[0.64777, 0.6510266666666666, 0.6479766666666668, 0.6665599999999999, 0.6589833333333334, 0.6733866666666667, 0.6800266666666666, 0.6702933333333334, 0.3333333333333334, 0.6701200000000002]"
64,0.15,"[0.6766252517700195, nan, 0.6658065319061279, nan, nan, nan, 0.6261059641838074, nan, nan, nan]","[0.683, 0.3333333333333333, 0.693, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.7013333333333334, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[1.2968390965461731, nan, 1.3055412542819977, nan, nan, nan, 1.2012994003295898, nan, nan, nan]","[0.5763333333333334, 0.3333333333333334, 0.5840666666666666, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.5968600000000001, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
64,0.2,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334, 0.3333333333333334]"
