num_tiles,digital_losses,digital_accuracies
1,"[0.46132510900497437, 0.4777316451072693, 0.47062236070632935, 0.48610907793045044, 0.5227400660514832, 0.4636761546134949, 0.456490695476532, 0.7356778979301453, 0.49737748503685, 0.47533342242240906]","[0.7896666666666666, 0.794, 0.8143333333333334, 0.7426666666666667, 0.7686666666666667, 0.7963333333333333, 0.797, 0.7486666666666667, 0.7866666666666666, 0.804]"
4,"[0.46486935019493103, 0.5179489850997925, 0.503993809223175, 0.5222460031509399, 0.4605827331542969, 0.5622044801712036, 0.48050805926322937, 0.5187717080116272, 0.5386582612991333, 0.45155835151672363]","[0.8006666666666666, 0.744, 0.774, 0.7393333333333333, 0.806, 0.7206666666666667, 0.7606666666666667, 0.7703333333333333, 0.7566666666666667, 0.8046666666666666]"
8,"[0.49596500396728516, 0.5163096785545349, 0.5560513138771057, 0.5287789106369019, 0.5273971557617188, 0.5457262992858887, 0.4883089065551758, 0.5323687195777893, 0.49092790484428406, 0.5468375086784363]","[0.7866666666666666, 0.799, 0.7363333333333333, 0.7526666666666667, 0.7583333333333333, 0.7333333333333333, 0.8006666666666666, 0.7626666666666667, 0.7923333333333333, 0.7373333333333333]"
16,"[0.6105906367301941, 0.5708721280097961, 0.5634641051292419, 0.5480705499649048, 0.5591862797737122, 0.5664471387863159, 0.5483671426773071, 0.5728938579559326, 0.530927836894989, 0.55271315574646]","[0.7, 0.731, 0.7273333333333334, 0.7483333333333333, 0.73, 0.723, 0.739, 0.7446666666666667, 0.7496666666666667, 0.7496666666666667]"
32,"[0.5879876613616943, 0.5758570432662964, 0.5505287051200867, 0.5504288673400879, 0.5778937339782715, 0.5927315354347229, 0.5468105673789978, 0.5570365190505981, 0.577115535736084, 0.5368382930755615]","[0.7236666666666667, 0.7743333333333333, 0.7423333333333333, 0.7453333333333333, 0.7163333333333334, 0.7156666666666667, 0.7096666666666667, 0.7326666666666667, 0.705, 0.779]"
64,"[0.5922189354896545, 0.6076298952102661, 0.6190226078033447, 0.6092740297317505, 0.5959292650222778, 0.5676820278167725, 0.6152862310409546, 0.6144647598266602, 0.6236546039581299, 0.5985916256904602]","[0.6973333333333334, 0.7033333333333334, 0.714, 0.7426666666666667, 0.715, 0.7353333333333333, 0.7203333333333334, 0.7303333333333333, 0.7176666666666667, 0.726]"
