bl,iters,iters_zero,std
1,0,0,0.394444078207016
1,0,100,0.3652220666408539
1,0,250,0.32484468817710876
1,0,500,0.26715272665023804
1,0,1000,0.18006302416324615
1,0,2500,0.06834305077791214
1,0,5000,0.05495598539710045
1,0,10000,0.054691679775714874
1,10,0,0.37675678730010986
1,10,100,0.3475790321826935
1,10,250,0.3071628212928772
1,10,500,0.2507522702217102
1,10,1000,0.16610582172870636
1,10,2500,0.06068750098347664
1,10,5000,0.04852654039859772
1,10,10000,0.048344049602746964
1,50,0,0.30859413743019104
1,50,100,0.2811606824398041
1,50,250,0.24420681595802307
1,50,500,0.1915917992591858
1,50,1000,0.11633890867233276
1,50,2500,0.037573594599962234
1,50,5000,0.029988665133714676
1,50,10000,0.029874855652451515
1,100,0,0.23539263010025024
1,100,100,0.20978042483329773
1,100,250,0.1767279952764511
1,100,500,0.1309386044740677
1,100,1000,0.071342334151268
1,100,2500,0.021610906347632408
1,100,5000,0.01804654486477375
1,100,10000,0.017970550805330276
1,250,0,0.08462481200695038
1,250,100,0.06974207609891891
1,250,250,0.05226637423038483
1,250,500,0.032539427280426025
1,250,1000,0.016223793849349022
1,250,2500,0.01096564531326294
1,250,5000,0.010756690055131912
1,250,10000,0.010831003077328205
1,500,0,0.012226881459355354
1,500,100,0.011488405056297779
1,500,250,0.010864312760531902
1,500,500,0.01055885385721922
1,500,1000,0.010426167398691177
1,500,2500,0.010421122424304485
1,500,5000,0.010421286337077618
1,500,10000,0.010430102236568928
