num_tiles,bl,digital_accuracies
1,5,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1388, 0.1437, 0.1945, 0.2451, 0.3927, 0.6127, 0.7631, 0.8223, 0.8552, 0.8724, 0.8864, 0.8884, 0.9017, 0.9082, 0.9101, 0.9158, 0.9184, 0.9253, 0.93, 0.9332, 0.9352, 0.9351, 0.9401, 0.9419, 0.9448, 0.9453, 0.9472, 0.95, 0.9504, 0.9535, 0.9521, 0.9533, 0.9549, 0.9574, 0.9589, 0.9604, 0.9611, 0.9613, 0.9614, 0.9635, 0.9651, 0.9652, 0.965, 0.9654, 0.9671, 0.9679, 0.9682, 0.9677, 0.9673, 0.9689, 0.9685, 0.9684, 0.9689, 0.968, 0.9685, 0.9696, 0.969, 0.9689, 0.9684, 0.9688, 0.969, 0.9697, 0.9711]]"
1,10,"[[0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1064, 0.1135, 0.1135, 0.1135, 0.1135, 0.1144, 0.192, 0.4998, 0.7599, 0.837, 0.8671, 0.8843, 0.9, 0.9048, 0.9131, 0.9168, 0.9238, 0.9293, 0.9306, 0.9363, 0.9405, 0.943, 0.9447, 0.9465, 0.9494, 0.9508, 0.9532, 0.9551, 0.9592, 0.958, 0.9581, 0.9595, 0.9626, 0.9624, 0.9627, 0.9642, 0.9647, 0.9655, 0.964, 0.9674, 0.9655, 0.967, 0.9663, 0.9685, 0.9693, 0.9693, 0.9688, 0.9685, 0.9705]]"
1,31,"[[0.1135, 0.1465, 0.1135, 0.1135, 0.1135, 0.1646, 0.3907, 0.7032, 0.8346, 0.8715, 0.8875, 0.902, 0.9129, 0.9233, 0.9289, 0.9335, 0.9375, 0.9405, 0.9444, 0.9459, 0.948, 0.9523, 0.9548, 0.957, 0.959, 0.9614, 0.9623, 0.9628, 0.9658, 0.9678, 0.966, 0.9677, 0.9687, 0.9702]]"
1,100,"[[0.1135, 0.1135, 0.1164, 0.371, 0.7532, 0.8394, 0.8914, 0.9063, 0.9166, 0.9253, 0.9277, 0.9344, 0.9385, 0.9465, 0.9503, 0.9518, 0.9569, 0.96, 0.9608, 0.9629, 0.9658, 0.9652, 0.9676, 0.9661, 0.9675, 0.9682, 0.9688, 0.9709]]"
16,5,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1186, 0.1151, 0.2116, 0.3555, 0.6084, 0.756, 0.8188, 0.8424, 0.8658, 0.8748, 0.8838, 0.8901, 0.8976, 0.905, 0.9086, 0.9134, 0.9161, 0.92, 0.924, 0.9264, 0.9288, 0.9313, 0.935, 0.9383, 0.9401, 0.9415, 0.9445, 0.947, 0.9465, 0.9502, 0.9528, 0.9547, 0.9558, 0.9566, 0.9589, 0.9605, 0.9605, 0.9601, 0.9607, 0.9617, 0.9626, 0.9635, 0.9647, 0.9651, 0.9664, 0.9669, 0.967, 0.9676, 0.9679, 0.9679, 0.9676, 0.9693, 0.9693, 0.9693, 0.9695, 0.9701]]"
16,10,"[[0.1135, 0.1135, 0.1285, 0.1135, 0.1135, 0.1207, 0.2367, 0.2975, 0.5134, 0.7011, 0.7919, 0.8372, 0.8652, 0.8787, 0.8881, 0.8977, 0.8991, 0.9059, 0.9103, 0.9154, 0.9209, 0.9254, 0.9296, 0.9314, 0.9339, 0.9376, 0.9391, 0.9424, 0.945, 0.9467, 0.9486, 0.9508, 0.953, 0.9559, 0.956, 0.9584, 0.9586, 0.961, 0.9613, 0.9616, 0.963, 0.9645, 0.9661, 0.968, 0.9676, 0.9686, 0.9696, 0.9698, 0.97]]"
16,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1415, 0.3513, 0.6463, 0.7904, 0.8484, 0.8739, 0.8893, 0.898, 0.9087, 0.9138, 0.9201, 0.9224, 0.9284, 0.934, 0.9378, 0.9422, 0.9448, 0.9472, 0.9503, 0.9541, 0.9567, 0.9593, 0.9614, 0.9612, 0.9629, 0.9659, 0.9666, 0.9668, 0.9673, 0.9676, 0.9698, 0.9703]]"
16,100,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.2486, 0.6101, 0.8103, 0.8698, 0.895, 0.9048, 0.9135, 0.9203, 0.9298, 0.9361, 0.9401, 0.944, 0.945, 0.9497, 0.9513, 0.9564, 0.9589, 0.9621, 0.9647, 0.9647, 0.9663, 0.9678, 0.9685, 0.9697, 0.97]]"
4,5,"[[0.1077, 0.1135, 0.1135, 0.1135, 0.1136, 0.1135, 0.1169, 0.1753, 0.1135, 0.1836, 0.2267, 0.3463, 0.5849, 0.7603, 0.824, 0.8536, 0.8698, 0.8832, 0.8937, 0.9025, 0.9044, 0.9122, 0.9173, 0.9211, 0.9263, 0.928, 0.9322, 0.9346, 0.937, 0.9403, 0.9402, 0.9415, 0.9439, 0.9443, 0.9464, 0.9491, 0.9526, 0.9535, 0.9561, 0.9568, 0.9575, 0.9594, 0.9597, 0.9607, 0.9626, 0.9608, 0.9625, 0.9633, 0.9638, 0.9655, 0.9654, 0.9664, 0.9663, 0.9665, 0.9676, 0.9675, 0.9685, 0.9685, 0.9688, 0.9696, 0.9682, 0.9683, 0.9692, 0.9693, 0.9698, 0.969, 0.9689, 0.9705]]"
4,10,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1266, 0.1656, 0.4379, 0.7008, 0.807, 0.8557, 0.8801, 0.8954, 0.9002, 0.9087, 0.9119, 0.9192, 0.9246, 0.9268, 0.9304, 0.934, 0.9376, 0.9424, 0.9442, 0.9469, 0.9481, 0.9513, 0.9533, 0.9553, 0.9568, 0.9581, 0.9584, 0.9607, 0.962, 0.9626, 0.9643, 0.9642, 0.9656, 0.9655, 0.9671, 0.9672, 0.9667, 0.9682, 0.9694, 0.9692, 0.9695, 0.9704]]"
4,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1136, 0.232, 0.5915, 0.814, 0.8683, 0.8918, 0.9048, 0.9154, 0.9219, 0.9271, 0.9318, 0.9347, 0.9367, 0.9443, 0.9467, 0.949, 0.952, 0.9573, 0.9599, 0.9606, 0.9615, 0.9643, 0.9661, 0.966, 0.9676, 0.9682, 0.9702]]"
4,100,"[[0.1104, 0.1135, 0.1135, 0.1135, 0.1135, 0.3254, 0.7303, 0.8532, 0.8955, 0.9093, 0.9189, 0.9253, 0.9325, 0.9394, 0.945, 0.948, 0.9525, 0.9563, 0.9579, 0.9609, 0.9624, 0.9635, 0.9674, 0.9682, 0.9706]]"
8,5,"[[0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1141, 0.1625, 0.2519, 0.3708, 0.5265, 0.6755, 0.7869, 0.8275, 0.858, 0.8699, 0.8816, 0.8893, 0.8974, 0.902, 0.9062, 0.9114, 0.916, 0.9187, 0.9217, 0.9239, 0.9266, 0.9289, 0.9323, 0.9351, 0.9378, 0.94, 0.9436, 0.9451, 0.9463, 0.9494, 0.9516, 0.9522, 0.9538, 0.9537, 0.9557, 0.9575, 0.9582, 0.96, 0.9602, 0.9617, 0.9624, 0.9631, 0.964, 0.9649, 0.9663, 0.9667, 0.9669, 0.9671, 0.9674, 0.9678, 0.9684, 0.9684, 0.9686, 0.9677, 0.9683, 0.9687, 0.9694, 0.9692, 0.9704]]"
8,10,"[[0.1136, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1209, 0.1135, 0.1132, 0.2048, 0.3755, 0.6085, 0.767, 0.8323, 0.8624, 0.8805, 0.8915, 0.904, 0.9097, 0.9142, 0.9177, 0.9223, 0.9256, 0.9315, 0.9333, 0.9369, 0.9403, 0.9418, 0.9457, 0.9477, 0.9496, 0.9511, 0.9532, 0.9553, 0.9565, 0.9579, 0.9586, 0.9601, 0.9606, 0.962, 0.9627, 0.9641, 0.9643, 0.9651, 0.9664, 0.9671, 0.9681, 0.9686, 0.9696, 0.9698, 0.97]]"
8,31,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1296, 0.3948, 0.7187, 0.842, 0.8823, 0.9026, 0.9116, 0.9165, 0.9256, 0.9319, 0.9369, 0.9433, 0.9452, 0.9497, 0.9533, 0.9556, 0.9584, 0.962, 0.9624, 0.9646, 0.9651, 0.967, 0.9691, 0.9687, 0.97]]"
8,100,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1195, 0.3443, 0.709, 0.8401, 0.8842, 0.9005, 0.912, 0.9205, 0.9239, 0.9286, 0.9351, 0.9391, 0.9436, 0.9495, 0.9524, 0.9565, 0.9592, 0.9607, 0.9608, 0.9651, 0.967, 0.9664, 0.9693, 0.9691, 0.9701]]"
