num_tiles,init_std,digital_accuracies,digital_losses
1,-1.0,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1858, 0.6034, 0.8194, 0.877, 0.8988, 0.9113, 0.9223, 0.9289, 0.9335, 0.9368, 0.9412, 0.9454, 0.9477, 0.9501, 0.9522, 0.9558, 0.9579, 0.9588, 0.9611, 0.9625, 0.965, 0.9652, 0.9668, 0.9679, 0.9698, 0.9672, 0.9685, 0.9705]]","[2.301920975494385, 2.30138104095459, 2.3013514923095704, 2.301468486404419, 2.30096930770874, 2.301233059692383, 2.300899871826172, 2.300459397506714, 2.2993652744293214, 2.2961201610565185, 2.2610024459838867, 1.3846566862106324, 0.5871875983238221, 0.41145156664848326, 0.34565682034492495, 0.306396795463562, 0.2697336124897003, 0.24567110753655433, 0.22649844813346862, 0.20877463401556015, 0.191719632935524, 0.1818663500070572, 0.16921027189046145, 0.16114394124746323, 0.1513276982307434, 0.14243175062537194, 0.1364299916744232, 0.12576702642589807, 0.12145544510483741, 0.12113455419167876, 0.11743198260143399, 0.11357359933853149, 0.11036373357474803, 0.10855417159497738, 0.10654909497648478, 0.11113764890376479, 0.10910971407592297, 0.10207591045796871]"
1,0.0,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1246, 0.4599, 0.7671, 0.8485, 0.8794, 0.8973, 0.907, 0.9177, 0.9229, 0.9294, 0.9327, 0.935, 0.9404, 0.9452, 0.9476, 0.9509, 0.9542, 0.9565, 0.9587, 0.9591, 0.9596, 0.9644, 0.9649, 0.9679, 0.9673, 0.9704]]","[2.3025948040008544, 2.3017070137023925, 2.30078399810791, 2.3005249294281005, 2.2999115478515626, 2.2971143157958984, 2.2801282264709473, 1.9375198280334474, 0.7447809940338135, 0.4853212592124939, 0.3935308729887009, 0.3482029850959778, 0.30933342645168305, 0.2762574582099915, 0.25207301015853883, 0.23277601726055144, 0.2145898923099041, 0.20269523594379424, 0.19344749851226806, 0.18016343733668327, 0.16483405039310456, 0.15435966441631316, 0.1487540929079056, 0.14576839820146562, 0.13397743812799454, 0.1273728722333908, 0.1259328559964895, 0.1178257213205099, 0.11125600731372834, 0.10525120691098273, 0.1056564936876297, 0.1030488681524992]"
1,0.02,"[[0.1135, 0.1135, 0.1135, 0.1433, 0.2242, 0.3484, 0.6542, 0.8162, 0.8627, 0.8877, 0.9038, 0.9118, 0.9196, 0.9277, 0.9297, 0.9335, 0.9375, 0.9407, 0.9437, 0.9459, 0.9481, 0.9516, 0.9526, 0.953, 0.9599, 0.9604, 0.9618, 0.9614, 0.9658, 0.9659, 0.9654, 0.9667, 0.9688, 0.9675, 0.9695, 0.9687, 0.9684, 0.971]]","[2.3004442672729493, 2.301121516418457, 2.3000641555786134, 2.297448288345337, 2.2834732360839842, 2.1490925037384034, 1.1110891004562378, 0.5892981678962708, 0.44528389415740965, 0.36850649175643924, 0.3246165287017822, 0.2941632263183594, 0.27252637805938723, 0.2517958504796028, 0.2374697924852371, 0.2235812405347824, 0.2091642500638962, 0.19525015299916268, 0.1870537425518036, 0.1796045540332794, 0.1716695855498314, 0.16080389002561568, 0.15474446675777434, 0.14846639078855514, 0.1352133011817932, 0.1301339683353901, 0.12252287985086441, 0.1206082879692316, 0.11444217831492424, 0.10675183371901512, 0.10577518359422684, 0.10732301754951477, 0.1068885548233986, 0.10003843739628791, 0.09747611434981227, 0.10048075959384441, 0.09768726093322039, 0.09541508829146624]"
1,0.04,"[[0.1028, 0.1135, 0.1135, 0.1674, 0.2531, 0.4358, 0.7026, 0.8221, 0.8667, 0.8879, 0.8983, 0.9054, 0.9127, 0.9226, 0.9263, 0.9291, 0.9358, 0.9401, 0.944, 0.9488, 0.9493, 0.9511, 0.9543, 0.9551, 0.9577, 0.9589, 0.9606, 0.9622, 0.9638, 0.9645, 0.9657, 0.9663, 0.9688, 0.9677, 0.9682, 0.9698, 0.9692, 0.9692, 0.971]]","[2.3018365131378173, 2.3002590030670165, 2.2987731357574464, 2.292374536514282, 2.249345153808594, 1.7958741035461425, 0.9333283138275147, 0.5752555084705353, 0.44318945217132566, 0.38097853617668154, 0.3400186836719513, 0.30937838306427, 0.28972703688144685, 0.2598139801263809, 0.24276395978927612, 0.2297974241256714, 0.21422396482229233, 0.202642796421051, 0.18667831318974495, 0.17385508065223693, 0.169079962515831, 0.16513222244977951, 0.1543426161289215, 0.15012975449562072, 0.1432038012623787, 0.1393263633131981, 0.1347749649465084, 0.12826041553914547, 0.12360581624507903, 0.12106434701681137, 0.11686249226033688, 0.11257698362618684, 0.10873982231020927, 0.10745196693390607, 0.1072090336944908, 0.10643245033621788, 0.10398726805895567, 0.10829782604370267, 0.10513146227821708]"
1,0.06,"[[0.1138, 0.1487, 0.1924, 0.3403, 0.6342, 0.7787, 0.8374, 0.8679, 0.8878, 0.8959, 0.9062, 0.912, 0.9174, 0.9199, 0.9265, 0.9307, 0.9355, 0.9374, 0.9435, 0.9451, 0.948, 0.9508, 0.9532, 0.9546, 0.9563, 0.9568, 0.9586, 0.96, 0.9626, 0.9635, 0.963, 0.9654, 0.9658, 0.9665, 0.9677, 0.968, 0.9684, 0.9679, 0.9679, 0.9705]]","[2.299614406585693, 2.2968840213775636, 2.27662734375, 2.0361665924072265, 1.1227452020645141, 0.6941209108829498, 0.5204436454296112, 0.4305793426513672, 0.37556016821861266, 0.3421507965564728, 0.3154807257950306, 0.2941939320087433, 0.2717092855930328, 0.2593883280277252, 0.24260985405147076, 0.22918129609823226, 0.21592145107984542, 0.20575149462223052, 0.19117191772460937, 0.18351720626354218, 0.17417245042324067, 0.16424708812534808, 0.15585025678873063, 0.1504989290714264, 0.14761644656658174, 0.14070759315490722, 0.13700096942782403, 0.13301125311255454, 0.12886656053662301, 0.12497964941263198, 0.1229514908194542, 0.11830823671612889, 0.1167518108189106, 0.11259953002631665, 0.1108322667479515, 0.10947129228450359, 0.11172933474332095, 0.11139935873150826, 0.1104062876383774, 0.10408649758324028]"
1,0.08,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1646, 0.3219, 0.6325, 0.787, 0.846, 0.8714, 0.8876, 0.8989, 0.907, 0.9153, 0.9189, 0.9227, 0.9275, 0.9323, 0.9341, 0.939, 0.9409, 0.9437, 0.9462, 0.9497, 0.9525, 0.9536, 0.9552, 0.9565, 0.9571, 0.9577, 0.9613, 0.9617, 0.9628, 0.9633, 0.9657, 0.9646, 0.9648, 0.9651, 0.9664, 0.9668, 0.9677, 0.9683, 0.9666, 0.9668, 0.9675, 0.9685, 0.967, 0.9676, 0.9675, 0.9681, 0.9694, 0.9681, 0.9699, 0.9704]]","[2.3017344009399414, 2.3012877143859862, 2.3004901515960694, 2.2981400703430177, 2.2811725078582765, 2.0905997100830076, 1.1927974695205688, 0.6718573316574097, 0.49953463037014006, 0.4204368021965027, 0.37432382736206055, 0.3393401939749718, 0.31230330300331116, 0.28944018765091895, 0.2746764888763428, 0.2596634492635727, 0.2451738739013672, 0.22978486267328263, 0.21674039270877837, 0.2024336003303528, 0.19280088694095612, 0.18307944277524948, 0.17310797328948974, 0.16623561177253723, 0.16004555234313012, 0.15316329891085625, 0.1454368515908718, 0.14292326301932334, 0.14026241561174393, 0.13550908693373204, 0.1290840608596802, 0.12823695421516895, 0.1250422684147954, 0.1221846581697464, 0.11694742221534252, 0.12316195812225342, 0.12047810562103987, 0.12077165932953357, 0.11811608327832072, 0.12037432920783758, 0.11659176336824895, 0.11900476365089417, 0.12823986347205937, 0.12189868348687888, 0.12146591173559428, 0.11714667052477598, 0.12287387867476791, 0.12301910810619593, 0.12464358732402325, 0.12424856044985354, 0.12355610617138445, 0.12553257453441619, 0.12618567546962295, 0.12851347295343876]"
1,0.1,"[[0.1135, 0.1127, 0.1189, 0.1794, 0.3117, 0.5786, 0.7499, 0.8145, 0.8483, 0.8693, 0.8802, 0.8931, 0.9006, 0.9074, 0.9131, 0.9168, 0.9235, 0.9288, 0.9317, 0.937, 0.9377, 0.9407, 0.9448, 0.9469, 0.9503, 0.9522, 0.953, 0.9551, 0.9564, 0.9589, 0.9604, 0.9613, 0.9626, 0.963, 0.9649, 0.9668, 0.9684, 0.9684, 0.9677, 0.968, 0.9692, 0.97]]","[2.3011085735321046, 2.3004915271759034, 2.2979402851104735, 2.2745417537689208, 2.040595850753784, 1.2740278461456298, 0.7820640727043152, 0.5851148558616638, 0.4856661078453064, 0.42437314686775207, 0.3841882525444031, 0.3480246663093567, 0.3223505347251892, 0.30288903040885923, 0.2804872162818909, 0.26446588644981384, 0.2447071166038513, 0.23047170763015748, 0.21725546731948853, 0.20426236002445222, 0.1958208268404007, 0.18401972558498383, 0.17487581247091294, 0.16746756546497346, 0.15895705780982972, 0.15261360840797425, 0.1492685894936323, 0.14389644426107406, 0.14114275732785464, 0.13382351945638657, 0.1276879998087883, 0.12440606840252877, 0.12145268532037735, 0.11963113851845264, 0.11466253177821636, 0.11342868971154094, 0.10944015327394009, 0.1111904472053051, 0.10892042858302593, 0.11164812346100807, 0.10763881025910378, 0.10573954836726189]"
4,-1.0,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1814, 0.5953, 0.7692, 0.833, 0.8649, 0.881, 0.8943, 0.9007, 0.9055, 0.9065, 0.916, 0.9178, 0.9251, 0.9298, 0.9328, 0.9348, 0.9377, 0.9405, 0.9441, 0.9456, 0.9476, 0.9491, 0.9516, 0.954, 0.9552, 0.9559, 0.9575, 0.9582, 0.9591, 0.9602, 0.9613, 0.9624, 0.9634, 0.9643, 0.9652, 0.9653, 0.9659, 0.9666, 0.9678, 0.9672, 0.9673, 0.9699, 0.9713]]","[2.3011058494567873, 2.3011978519439698, 2.301718468475342, 2.3015761016845704, 2.3011917575836183, 2.301524071884155, 2.3016481128692625, 2.3010854179382325, 2.3011886669158934, 2.301087173461914, 2.3012670478820803, 2.301233116531372, 2.3014825622558592, 2.3014865425109865, 2.3013284034729002, 2.3011918190002443, 2.301375675201416, 2.3014972091674806, 2.301755930709839, 2.301041940307617, 2.3005307880401613, 2.2990431713104247, 2.2754944175720215, 1.5998294305801393, 0.7326900026321411, 0.5321644913196564, 0.4516778059005737, 0.40310097200870515, 0.360099902677536, 0.3402767898082733, 0.3241057992458343, 0.3153493918418884, 0.291765053653717, 0.2823333963394165, 0.2576299466133118, 0.24378398793935777, 0.2322478919312358, 0.2217930706501007, 0.21294932856559753, 0.20426442694962024, 0.19633150882720948, 0.1846626365274191, 0.1765941602945328, 0.17304623844623565, 0.1663421452999115, 0.15887227622270583, 0.15626762331128122, 0.15278041889071464, 0.1446847122013569, 0.14348496376276015, 0.1388221469640732, 0.1348114763200283, 0.13421526279151438, 0.13020471487045288, 0.1255773741364479, 0.12363725710511207, 0.11956333442032337, 0.11760646697580815, 0.11145025720894337, 0.108169654160738, 0.10781132746487856, 0.10935942311137915, 0.10887362532913684, 0.10373846384454519, 0.10166708691939712]"
4,0.0,"[[0.1136, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1277, 0.2921, 0.5678, 0.7649, 0.8413, 0.8708, 0.89, 0.9006, 0.9097, 0.9136, 0.9189, 0.9244, 0.9306, 0.9353, 0.9366, 0.9411, 0.9463, 0.9487, 0.9476, 0.9505, 0.9528, 0.9536, 0.9555, 0.957, 0.9591, 0.9607, 0.9624, 0.9641, 0.9632, 0.9644, 0.9646, 0.9671, 0.9672, 0.968, 0.9682, 0.9678, 0.9699, 0.969, 0.9689, 0.9696, 0.9709]]","[2.301100107574463, 2.3008163524627685, 2.30072610206604, 2.301379755020142, 2.3000061023712157, 2.298167222213745, 2.2901037578582764, 2.2315262645721434, 1.5321384656906127, 0.735817115354538, 0.5219990325927735, 0.4231993884563446, 0.37597820696830747, 0.3378799199104309, 0.31187453891038897, 0.29042237901687623, 0.27198854610919954, 0.2516597568511963, 0.23330728514194488, 0.22117562775611876, 0.2074300358057022, 0.19458455798625945, 0.18600384161174296, 0.1766238221526146, 0.17192766919136046, 0.1644419646859169, 0.1564650767683983, 0.15111591531038285, 0.1475926065325737, 0.14097552488446236, 0.13633938987851144, 0.13309305376410485, 0.1280110316246748, 0.12377416473627091, 0.11955006325244903, 0.11551992372572421, 0.11547180023491382, 0.11372794800698757, 0.11551098674535751, 0.1154420093819499, 0.11262741312086583, 0.11054030751883984, 0.10529744259957224, 0.10747201674580574, 0.11042716837525368, 0.11165991393476725, 0.11060066450387239]"
4,0.02,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1869, 0.3549, 0.6419, 0.7825, 0.8451, 0.8705, 0.8845, 0.8953, 0.9021, 0.9063, 0.9121, 0.9187, 0.9243, 0.9301, 0.9318, 0.9363, 0.9397, 0.9429, 0.9452, 0.9475, 0.9501, 0.9538, 0.957, 0.9573, 0.961, 0.9612, 0.962, 0.963, 0.9646, 0.9653, 0.9654, 0.968, 0.9676, 0.9694, 0.9694, 0.9701]]","[2.3005827156066894, 2.3008012271881104, 2.301035062789917, 2.300139322280884, 2.299956483459473, 2.2984035301208494, 2.294471781921387, 2.274722477722168, 2.119691817855835, 1.1742419277191163, 0.6696420829772949, 0.5064938401222229, 0.4284876677274704, 0.3823732685804367, 0.35196238222122195, 0.32690586957931517, 0.30671503252983096, 0.28607229433059694, 0.26910325906276705, 0.24799090652465822, 0.23306305932998658, 0.21949372730255126, 0.20835458252429961, 0.19672499891519546, 0.18550237169265746, 0.17545209408998488, 0.16653364084362984, 0.15853389014005662, 0.15113677448034288, 0.14661683630943298, 0.14035072965621948, 0.1346029212474823, 0.12969183653593064, 0.1260932768166065, 0.12134498022124171, 0.11668737652003765, 0.11373247927725315, 0.11097584555372596, 0.10709494561553001, 0.10430527235865593, 0.1028500171750784, 0.10041292579099535, 0.09829486953616143]"
