num_tiles,noise,digital_accuracies,digital_losses
1,0.1,"[[0.1135, 0.1135, 0.1136, 0.1135, 0.1135, 0.1315, 0.2455, 0.4746, 0.6925, 0.8002, 0.8522, 0.8751, 0.8906, 0.9016, 0.9099, 0.9166, 0.9236, 0.9271, 0.9325, 0.9361, 0.9396, 0.9419, 0.9436, 0.9507, 0.9517, 0.9529, 0.9559, 0.9566, 0.9589, 0.9605, 0.9595, 0.962, 0.9618, 0.9629, 0.9645, 0.963, 0.9645, 0.9667, 0.9667, 0.9674, 0.9683, 0.9677, 0.9699, 0.9715, 0.9695, 0.9713, 0.9719, 0.9698, 0.9676, 0.9694]]","[2.3033372517079433, 2.301605679841438, 2.3008475323984108, 2.30016619310196, 2.298855224652077, 2.2944177983920455, 2.2786151663835117, 2.1683069825934957, 1.5641491169741413, 0.9296984995351926, 0.6728808658717792, 0.5451641511847215, 0.47064744069505093, 0.4178395629215088, 0.3759634005251343, 0.3424547609648725, 0.31484385647737523, 0.2944434299143647, 0.27188388616450304, 0.25121249873310264, 0.23344347341609661, 0.21949739571906993, 0.20498794476305054, 0.1950129402646505, 0.1809314417658743, 0.16981551252893293, 0.15891048704176697, 0.14682345233285732, 0.1394592581062651, 0.1335540897444264, 0.12503523380160014, 0.11859430978918618, 0.11357755989713995, 0.10853971679831968, 0.10065126378756406, 0.09527438679493583, 0.09224929198024989, 0.08850836101844947, 0.08171607516328695, 0.07765148175673793, 0.07373158567434134, 0.06908557950499168, 0.06418759875527735, 0.06031246801699524, 0.056758850521625465, 0.053547214238352375, 0.05236406820572551, 0.05214162706546406, 0.048271637449640706, 0.04599825487058085]"
4,0.1,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1764, 0.293, 0.5832, 0.7622, 0.8205, 0.8565, 0.8753, 0.8838, 0.8999, 0.9004, 0.9073, 0.9069, 0.9149, 0.9163, 0.9176, 0.925, 0.9268, 0.9256, 0.9301, 0.9332, 0.9345, 0.9379, 0.9382, 0.9402, 0.941, 0.9445, 0.9461, 0.9492, 0.949, 0.9517, 0.9537]]","[2.307104464532978, 2.3014038974033997, 2.3013793847708306, 2.3014332531357624, 2.3013699880795184, 2.3013880115582235, 2.301459420210263, 2.301350373449102, 2.301267889008593, 2.3014055899719694, 2.301342281705535, 2.301250165459444, 2.3012736623983647, 2.301329948246352, 2.3010839841513238, 2.3012189544848543, 2.3008071306163567, 2.3005752995578463, 2.29948685418314, 2.2957124506740936, 2.2808652071556303, 2.1525811491998783, 1.5102953516216928, 0.9491469501368781, 0.6936919231023362, 0.5635998128637322, 0.48934843678718437, 0.4306806967552029, 0.3993383391833763, 0.3694087281298917, 0.3481137788832696, 0.3293438059037555, 0.3126626870851082, 0.3018915679162817, 0.2875001063661725, 0.2716285588700316, 0.2627515604516972, 0.249735724772694, 0.24151214609728822, 0.23197630700319688, 0.2224651667505884, 0.2163245583743429, 0.20812262283133737, 0.20090915387405006, 0.19029194613231587, 0.18764181160477242, 0.1819082882696155, 0.17547955932214793, 0.16978550201226303, 0.1645291738911097]"
8,0.1,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1138, 0.4951, 0.6648, 0.7746, 0.826, 0.8582, 0.8749, 0.8879, 0.8966, 0.9033, 0.9084, 0.9116, 0.9157, 0.917, 0.9161, 0.9196, 0.9257, 0.9282, 0.9277, 0.9286, 0.933, 0.9351, 0.9375, 0.9385, 0.9395, 0.9435, 0.9458]]","[2.3074196142428467, 2.301434030665009, 2.3014061227281974, 2.301432436463167, 2.301421344153154, 2.30142970278319, 2.3014356096161963, 2.3014082573115955, 2.301386646116212, 2.301476973714605, 2.3013558466551403, 2.301450606856519, 2.3014839752904894, 2.3012795618602206, 2.301419167376276, 2.301321563690202, 2.3013020664898316, 2.301239512368306, 2.301377198589382, 2.3009544163624613, 2.3005005738882622, 2.299970221671977, 2.2987826633046686, 2.2948084919691594, 2.273471128203467, 2.1019522453676154, 1.4504415959056252, 0.9349904322802131, 0.6981741222364308, 0.57367681464089, 0.5029236694166401, 0.44805375180010604, 0.41265980277393166, 0.38293331546951204, 0.366410159194139, 0.3478001491871597, 0.33068249065643435, 0.31714579085313055, 0.30917563333884995, 0.29835648731048553, 0.28709473254393414, 0.2773622268957815, 0.2658053169142145, 0.25885368204876175, 0.24799231788925907, 0.2407045217314318, 0.23339953635340688, 0.22487344874390788, 0.21703655950661535, 0.20816150630937455]"
16,0.1,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.3175, 0.5669, 0.6944, 0.7908, 0.8478, 0.8759, 0.8909, 0.8956, 0.9, 0.9039, 0.9094, 0.9121, 0.9174, 0.9194, 0.9199, 0.9242, 0.9259, 0.9276, 0.9312, 0.9337, 0.9358, 0.9382]]","[2.306760856083461, 2.3014623419816562, 2.301447182067676, 2.3014317384915057, 2.3014359903742254, 2.30141521567729, 2.3014214183730104, 2.301471570915759, 2.301385687866699, 2.301452000003888, 2.301424749878678, 2.301468147906159, 2.3014091077898104, 2.3014468676499975, 2.3014762292284447, 2.3014267151798014, 2.301512317362625, 2.301436378503405, 2.3014116973510936, 2.3014702110656544, 2.3013480683125414, 2.3013679246658456, 2.301247863373014, 2.30124524331042, 2.3011459213838394, 2.3009885025939454, 2.3002521638422886, 2.2989174907903935, 2.2943915931909067, 2.2553614731282314, 1.9071447530280807, 1.2509106097699227, 0.8559770633353353, 0.6568860318233718, 0.5494310229794303, 0.48258153649408425, 0.44038853484557383, 0.4084163372164596, 0.38574929232758753, 0.3690623477704998, 0.3465870926931087, 0.3350095164213481, 0.32403950254990854, 0.3114918657600371, 0.2981732153355567, 0.28762503951263707, 0.2795186688674729, 0.2695683899647328, 0.26044705845336164, 0.24897786839875077]"
32,0.1,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.2755, 0.6747, 0.7444, 0.783, 0.8284, 0.8607, 0.8824, 0.8931, 0.8996, 0.905, 0.9091, 0.9162, 0.9149, 0.9185, 0.9214, 0.9218, 0.9271, 0.9287, 0.9321]]","[2.307022950542507, 2.3014112736370516, 2.3014271597364058, 2.30142421712245, 2.3014042352054167, 2.3014631220526787, 2.3013496538723457, 2.3014291280876598, 2.3014201380804913, 2.30140649891103, 2.3015019802142307, 2.3013485654839068, 2.3014692650166655, 2.3014719826834544, 2.3014550689441053, 2.301366157114887, 2.301468208400425, 2.3014570932144296, 2.3015007545698936, 2.30149875978417, 2.301354477146287, 2.301387737300604, 2.30131837604905, 2.301382700517488, 2.301340577698974, 2.301270047230507, 2.301306987876323, 2.3012039498733814, 2.3009865439014394, 2.3006779641739086, 2.2992365301799165, 2.2943535689860264, 2.2497536475216147, 1.8750471185519497, 1.2752603383969143, 0.910674069799594, 0.7063078053597448, 0.5889358063941317, 0.511976280652765, 0.4599493613470592, 0.42561955208272567, 0.39666439245727014, 0.37624563587340976, 0.3558175701068154, 0.3379763801024158, 0.32949227869891917, 0.3140436274442337, 0.3004714849629382, 0.2915838201687153, 0.2789260131686227]"
64,0.1,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1621, 0.2273, 0.4865, 0.6944, 0.7784, 0.8313, 0.8566, 0.8734, 0.8816, 0.8941, 0.9015, 0.9077, 0.9113, 0.9138, 0.917, 0.9202, 0.9247, 0.9263, 0.9266, 0.9298, 0.9312, 0.934]]","[2.307115437125346, 2.3014335782288997, 2.301431298001743, 2.3014201141877977, 2.30141891599464, 2.301345874505765, 2.3014667844975683, 2.3014899479554916, 2.3014343806675504, 2.3014469055224582, 2.3014208757038563, 2.3014812560986355, 2.3014769856609516, 2.3014280696921765, 2.301490508162899, 2.3014271859166975, 2.301401622005617, 2.301503174340547, 2.3014525912209614, 2.3013924238270027, 2.301344293521157, 2.30134717208236, 2.301308780336685, 2.3013256818755097, 2.301246022364732, 2.3013260344198265, 2.3008559332219267, 2.3008595943959285, 2.299386064126802, 2.295166013337402, 2.2649908985918774, 2.0190816167066856, 1.4775039010337676, 1.0570970537947184, 0.8135993194097141, 0.6662368651773376, 0.5729438307951255, 0.5078058749246699, 0.4601816795845784, 0.42379335560269954, 0.3999268599569416, 0.38013286189611023, 0.3588250101502262, 0.3396046376828827, 0.326881990587311, 0.31536416487017677, 0.30153825098692355, 0.2908857221494733, 0.2778636525625359, 0.27057223836940997]"
