num_tiles,lr,bl,digital_accuracies
8,0.1,2,"[[0.1135, 0.0885, 0.1135, 0.1135, 0.1808, 0.1907, 0.1876, 0.2112, 0.279, 0.322, 0.3958, 0.5368, 0.6853, 0.7618, 0.8045, 0.8281, 0.8526, 0.8702, 0.8796, 0.8852, 0.8917, 0.8941, 0.8975, 0.9023, 0.9061, 0.909, 0.9127, 0.9164, 0.9174, 0.9214, 0.9232, 0.9251, 0.9264, 0.9309, 0.9322, 0.9348, 0.9374, 0.939, 0.9408, 0.9413, 0.9424, 0.9435, 0.9454, 0.9461, 0.9466, 0.948, 0.9482, 0.9505, 0.9519, 0.9526, 0.954, 0.9546, 0.955, 0.9554, 0.9561, 0.9563, 0.9558, 0.9558, 0.9567, 0.9568, 0.9571, 0.9573, 0.9564, 0.9583, 0.9592, 0.9595, 0.9596, 0.9601, 0.9617, 0.9624, 0.9628, 0.9633, 0.9637, 0.9637, 0.9645, 0.9645, 0.9647, 0.9643, 0.9653, 0.9652, 0.9658, 0.9665, 0.9674, 0.9673, 0.9676, 0.9673, 0.9684, 0.9692, 0.9693, 0.9696, 0.9691, 0.9701], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.121, 0.1033, 0.1135, 0.1428, 0.1419, 0.2947, 0.4109, 0.527, 0.667, 0.765, 0.811, 0.8366, 0.8567, 0.8679, 0.8769, 0.884, 0.8911, 0.8957, 0.9006, 0.9033, 0.9075, 0.9102, 0.9147, 0.9185, 0.921, 0.9242, 0.9276, 0.9294, 0.9312, 0.9322, 0.9331, 0.9354, 0.9365, 0.9381, 0.9399, 0.9425, 0.944, 0.9446, 0.9454, 0.9472, 0.9486, 0.9502, 0.9516, 0.9523, 0.9525, 0.9533, 0.9544, 0.9549, 0.9552, 0.9556, 0.9566, 0.9576, 0.9583, 0.9585, 0.9584, 0.9593, 0.9599, 0.96, 0.9604, 0.9609, 0.9616, 0.9624, 0.9621, 0.9619, 0.9623, 0.9633, 0.9638, 0.9632, 0.9643, 0.9648, 0.9657, 0.9672, 0.9681, 0.9686, 0.969, 0.9687, 0.9686, 0.9693, 0.9685, 0.9681, 0.9684, 0.9684, 0.968, 0.9684, 0.9682, 0.969, 0.9686, 0.9696, 0.9691, 0.9692, 0.9699, 0.9702], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1137, 0.1489, 0.139, 0.2119, 0.2387, 0.369, 0.5386, 0.6994, 0.7694, 0.8032, 0.834, 0.8509, 0.8697, 0.8767, 0.8842, 0.8919, 0.8962, 0.9018, 0.9048, 0.907, 0.9096, 0.9112, 0.9149, 0.9178, 0.9201, 0.922, 0.9256, 0.9282, 0.9316, 0.9335, 0.9347, 0.9369, 0.939, 0.9402, 0.9424, 0.9426, 0.9445, 0.9454, 0.947, 0.9482, 0.9492, 0.9505, 0.9517, 0.9534, 0.9546, 0.9555, 0.9558, 0.957, 0.9583, 0.9585, 0.9592, 0.9587, 0.959, 0.9602, 0.9605, 0.9604, 0.9616, 0.9611, 0.9622, 0.9627, 0.9639, 0.9634, 0.9646, 0.9655, 0.9651, 0.966, 0.9659, 0.9653, 0.9653, 0.9656, 0.966, 0.9669, 0.9668, 0.9663, 0.9666, 0.9669, 0.9672, 0.9675, 0.9672, 0.9677, 0.9684, 0.9685, 0.9696, 0.9694, 0.9704], [0.1211, 0.1552, 0.2054, 0.2346, 0.3222, 0.4162, 0.5003, 0.5836, 0.6491, 0.7077, 0.7521, 0.7881, 0.826, 0.8443, 0.8568, 0.868, 0.8752, 0.8855, 0.8899, 0.8966, 0.8991, 0.9025, 0.9063, 0.9093, 0.9124, 0.9165, 0.919, 0.9222, 0.9258, 0.9286, 0.9301, 0.933, 0.9349, 0.9357, 0.937, 0.9383, 0.9394, 0.9407, 0.9438, 0.9428, 0.9454, 0.9452, 0.9473, 0.9478, 0.9494, 0.9507, 0.9508, 0.9531, 0.9522, 0.9527, 0.9533, 0.9542, 0.9553, 0.9558, 0.9568, 0.9582, 0.9582, 0.958, 0.9592, 0.9602, 0.9597, 0.9609, 0.9618, 0.9616, 0.962, 0.9629, 0.9628, 0.9638, 0.964, 0.9647, 0.9645, 0.9647, 0.9641, 0.9643, 0.966, 0.9652, 0.9655, 0.9666, 0.9677, 0.9673, 0.9678, 0.9685, 0.9693, 0.9698, 0.9708], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1152, 0.1135, 0.1136, 0.1156, 0.2122, 0.4027, 0.672, 0.7941, 0.8386, 0.8589, 0.8732, 0.8876, 0.8943, 0.899, 0.9039, 0.9061, 0.9094, 0.913, 0.9163, 0.9206, 0.9232, 0.9257, 0.927, 0.9296, 0.9323, 0.9335, 0.9371, 0.9374, 0.9387, 0.9411, 0.9413, 0.9429, 0.9439, 0.9456, 0.9459, 0.9475, 0.9485, 0.9494, 0.9513, 0.9516, 0.9522, 0.953, 0.9543, 0.9553, 0.9553, 0.9557, 0.9556, 0.957, 0.9575, 0.957, 0.9582, 0.958, 0.9593, 0.9596, 0.9596, 0.9599, 0.9605, 0.9621, 0.9634, 0.9638, 0.9631, 0.9631, 0.9641, 0.9641, 0.9638, 0.9651, 0.9645, 0.9664, 0.9655, 0.9656, 0.9656, 0.9651, 0.9652, 0.965, 0.966, 0.9659, 0.9655, 0.9662, 0.9669, 0.967, 0.9674, 0.9674, 0.9667, 0.9671, 0.9681, 0.9686, 0.9699, 0.9703]]"
8,0.1,5,"[[0.1135, 0.1135, 0.1135, 0.1324, 0.1853, 0.2324, 0.3378, 0.5131, 0.6907, 0.7682, 0.8078, 0.836, 0.8572, 0.8689, 0.8781, 0.8844, 0.8923, 0.8978, 0.903, 0.9072, 0.9105, 0.9138, 0.9167, 0.9203, 0.9237, 0.9261, 0.93, 0.934, 0.9381, 0.9395, 0.9423, 0.9447, 0.9474, 0.9489, 0.9518, 0.9533, 0.9541, 0.955, 0.9571, 0.9575, 0.9583, 0.9593, 0.9604, 0.9619, 0.963, 0.9633, 0.9638, 0.9652, 0.9656, 0.9653, 0.9657, 0.9657, 0.966, 0.9668, 0.9669, 0.9674, 0.9679, 0.967, 0.9684, 0.9686, 0.9694, 0.9707], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1175, 0.1314, 0.1817, 0.3135, 0.4771, 0.666, 0.7817, 0.8293, 0.8572, 0.8724, 0.8824, 0.8909, 0.8959, 0.9006, 0.9037, 0.9105, 0.9147, 0.9206, 0.9238, 0.9277, 0.929, 0.9307, 0.9343, 0.9371, 0.9391, 0.941, 0.9428, 0.9456, 0.9467, 0.9484, 0.9506, 0.9517, 0.9531, 0.9539, 0.9547, 0.9556, 0.9567, 0.959, 0.9593, 0.9602, 0.9609, 0.9625, 0.9622, 0.9641, 0.9642, 0.9648, 0.9639, 0.9646, 0.9649, 0.9655, 0.9664, 0.9664, 0.9674, 0.9676, 0.9678, 0.9678, 0.9682, 0.9683, 0.9692, 0.9685, 0.9682, 0.9693, 0.9694, 0.9705], [0.1135, 0.1135, 0.1135, 0.1035, 0.1135, 0.1135, 0.0665, 0.0929, 0.1719, 0.3462, 0.5847, 0.729, 0.8031, 0.8329, 0.8549, 0.8688, 0.8808, 0.8908, 0.8986, 0.9025, 0.9055, 0.9094, 0.9147, 0.9187, 0.9225, 0.9246, 0.9278, 0.9309, 0.9336, 0.9371, 0.939, 0.941, 0.9436, 0.9455, 0.9474, 0.9494, 0.9509, 0.9537, 0.9541, 0.9555, 0.9573, 0.9577, 0.9593, 0.9609, 0.9616, 0.9627, 0.9632, 0.9645, 0.9643, 0.9651, 0.9652, 0.9656, 0.966, 0.9661, 0.966, 0.9668, 0.9678, 0.9681, 0.9686, 0.9691, 0.9698, 0.9698, 0.9692, 0.9699, 0.9711], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1145, 0.1171, 0.1642, 0.2598, 0.3827, 0.5387, 0.7172, 0.8093, 0.8398, 0.8572, 0.8708, 0.8825, 0.8911, 0.8984, 0.9046, 0.9072, 0.9101, 0.9132, 0.9178, 0.9197, 0.9233, 0.9281, 0.9308, 0.9342, 0.9384, 0.9396, 0.9407, 0.9425, 0.9446, 0.9476, 0.949, 0.9513, 0.9514, 0.9531, 0.9533, 0.9562, 0.9566, 0.9576, 0.9578, 0.9588, 0.9593, 0.9605, 0.9618, 0.962, 0.963, 0.963, 0.9647, 0.9653, 0.9647, 0.9654, 0.9656, 0.966, 0.9678, 0.9685, 0.9672, 0.9679, 0.9684, 0.9688, 0.969, 0.9694, 0.97], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1233, 0.1135, 0.1135, 0.1135, 0.1135, 0.1176, 0.2636, 0.498, 0.7235, 0.8205, 0.8559, 0.881, 0.8918, 0.9001, 0.9059, 0.9093, 0.9124, 0.9178, 0.9219, 0.9254, 0.9277, 0.931, 0.9354, 0.9371, 0.9391, 0.9422, 0.943, 0.9447, 0.9467, 0.9489, 0.9517, 0.9532, 0.9529, 0.9541, 0.9547, 0.9565, 0.9573, 0.9591, 0.9605, 0.9616, 0.963, 0.9641, 0.9646, 0.9656, 0.966, 0.9666, 0.9672, 0.9666, 0.9669, 0.9676, 0.9665, 0.9672, 0.9679, 0.9683, 0.9684, 0.9695, 0.9704]]"
8,0.1,10,"[[0.1135, 0.0974, 0.1135, 0.1135, 0.0957, 0.1202, 0.1135, 0.1443, 0.3126, 0.534, 0.7198, 0.7996, 0.8435, 0.8746, 0.8862, 0.8954, 0.9033, 0.9083, 0.9134, 0.9161, 0.9194, 0.9228, 0.9286, 0.9318, 0.934, 0.9367, 0.9401, 0.9436, 0.9477, 0.9489, 0.9515, 0.9538, 0.9546, 0.9568, 0.9584, 0.9603, 0.9597, 0.9602, 0.9613, 0.9622, 0.9632, 0.9643, 0.965, 0.967, 0.9666, 0.9671, 0.9677, 0.9682, 0.969, 0.9699, 0.9697, 0.9704], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1393, 0.227, 0.5014, 0.7363, 0.8222, 0.8568, 0.8749, 0.8884, 0.8956, 0.9058, 0.9116, 0.9175, 0.922, 0.9282, 0.9313, 0.9343, 0.9378, 0.9402, 0.9421, 0.9444, 0.9467, 0.9483, 0.9514, 0.9524, 0.9534, 0.9546, 0.9565, 0.9575, 0.9585, 0.9604, 0.9622, 0.9636, 0.9632, 0.9646, 0.9672, 0.9676, 0.9682, 0.9678, 0.9685, 0.9689, 0.9687, 0.9688, 0.9697, 0.9693, 0.97], [0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1139, 0.156, 0.3719, 0.6025, 0.7774, 0.8358, 0.8652, 0.8818, 0.8943, 0.901, 0.9086, 0.9143, 0.9204, 0.9235, 0.9263, 0.9308, 0.9327, 0.9382, 0.9404, 0.9422, 0.9458, 0.9463, 0.9483, 0.9499, 0.9523, 0.9548, 0.9547, 0.9577, 0.9582, 0.9611, 0.9614, 0.9622, 0.9649, 0.9655, 0.9647, 0.9663, 0.9658, 0.9664, 0.9681, 0.9685, 0.9701], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1134, 0.1135, 0.3985, 0.6864, 0.8144, 0.863, 0.8881, 0.8994, 0.9078, 0.9139, 0.9208, 0.9263, 0.9316, 0.936, 0.9382, 0.9418, 0.947, 0.9478, 0.9495, 0.9523, 0.955, 0.957, 0.9577, 0.9582, 0.9596, 0.9611, 0.9627, 0.9632, 0.965, 0.9651, 0.9659, 0.9668, 0.9686, 0.9678, 0.9684, 0.9694, 0.9697, 0.9701], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1575, 0.1704, 0.4042, 0.7182, 0.8113, 0.8519, 0.8792, 0.8938, 0.9041, 0.9092, 0.9182, 0.9212, 0.9261, 0.9307, 0.9351, 0.9372, 0.9398, 0.942, 0.943, 0.9456, 0.9483, 0.9508, 0.9543, 0.9538, 0.9571, 0.9568, 0.9577, 0.9591, 0.9623, 0.9637, 0.9627, 0.9634, 0.9642, 0.966, 0.9662, 0.9682, 0.9694, 0.9687, 0.9687, 0.9701]]"
8,0.1,31,"[[0.1135, 0.1135, 0.1135, 0.1139, 0.1135, 0.1135, 0.1135, 0.1157, 0.241, 0.5511, 0.7559, 0.8402, 0.8747, 0.8901, 0.9057, 0.9136, 0.9204, 0.9268, 0.9324, 0.9363, 0.9389, 0.9422, 0.9462, 0.9495, 0.9511, 0.9546, 0.9582, 0.9603, 0.9612, 0.9636, 0.964, 0.9663, 0.9681, 0.9688, 0.9693, 0.9709], [0.1135, 0.1135, 0.1135, 0.1135, 0.1028, 0.1135, 0.1135, 0.1798, 0.4587, 0.7193, 0.8211, 0.8652, 0.89, 0.9037, 0.9114, 0.9183, 0.9239, 0.9277, 0.9321, 0.9364, 0.9412, 0.944, 0.9465, 0.9483, 0.9531, 0.9549, 0.9577, 0.9607, 0.96, 0.9623, 0.9649, 0.9658, 0.9676, 0.968, 0.9688, 0.9704], [0.1136, 0.235, 0.3956, 0.6473, 0.7957, 0.8372, 0.8656, 0.8841, 0.8974, 0.9057, 0.9101, 0.9168, 0.9209, 0.9244, 0.9291, 0.9333, 0.9369, 0.9404, 0.9433, 0.9474, 0.951, 0.9538, 0.9545, 0.958, 0.9608, 0.9607, 0.964, 0.9641, 0.9651, 0.9663, 0.9669, 0.9689, 0.9684, 0.9696, 0.9702], [0.1135, 0.1135, 0.1281, 0.284, 0.5704, 0.7439, 0.8268, 0.868, 0.8866, 0.8974, 0.9049, 0.9105, 0.9162, 0.9234, 0.9264, 0.9311, 0.9346, 0.9378, 0.9413, 0.9445, 0.9483, 0.9517, 0.9541, 0.9562, 0.9583, 0.9592, 0.9615, 0.9637, 0.9651, 0.966, 0.9672, 0.9683, 0.9692, 0.9698, 0.9722], [0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1187, 0.3655, 0.7287, 0.8266, 0.8741, 0.8947, 0.9069, 0.9162, 0.925, 0.9297, 0.9355, 0.9398, 0.9448, 0.9506, 0.9528, 0.9554, 0.9574, 0.9594, 0.9608, 0.9621, 0.9644, 0.9657, 0.967, 0.9686, 0.9684, 0.9699, 0.9709]]"
8,0.1,100,"[[0.1135, 0.1028, 0.1135, 0.1135, 0.3375, 0.6997, 0.8311, 0.8766, 0.8995, 0.9095, 0.9194, 0.9275, 0.9333, 0.9387, 0.9425, 0.9471, 0.9498, 0.9545, 0.9561, 0.9592, 0.9601, 0.964, 0.9645, 0.9671, 0.9686, 0.9689, 0.9713], [0.1135, 0.1135, 0.1135, 0.1626, 0.4442, 0.7209, 0.8325, 0.8827, 0.8983, 0.9131, 0.9215, 0.9295, 0.9345, 0.9384, 0.9442, 0.9488, 0.9528, 0.9541, 0.9571, 0.9612, 0.9644, 0.964, 0.9665, 0.9673, 0.9694, 0.9702], [0.1135, 0.1619, 0.4036, 0.7326, 0.8342, 0.8674, 0.8919, 0.9041, 0.9151, 0.922, 0.9283, 0.9325, 0.937, 0.9423, 0.9464, 0.9506, 0.9556, 0.9581, 0.9593, 0.9625, 0.9636, 0.9653, 0.9682, 0.9698, 0.9711], [0.1135, 0.1135, 0.1135, 0.1028, 0.2531, 0.6285, 0.8082, 0.866, 0.8912, 0.9055, 0.9141, 0.9223, 0.9271, 0.9343, 0.9399, 0.9435, 0.9484, 0.9507, 0.9544, 0.9583, 0.9587, 0.9622, 0.9646, 0.9674, 0.9699, 0.9713], [0.1135, 0.1138, 0.37, 0.6606, 0.8098, 0.8664, 0.8914, 0.9036, 0.9155, 0.9231, 0.9275, 0.9326, 0.9392, 0.9423, 0.9471, 0.9495, 0.9527, 0.9565, 0.9587, 0.9602, 0.9638, 0.9651, 0.9673, 0.9685, 0.969, 0.9701]]"

8,0.05,2,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1196, 0.2238, 0.2701, 0.4727, 0.7047, 0.8009, 0.8451, 0.8645, 0.8731, 0.8782, 0.8841, 0.8886, 0.8929, 0.8964, 0.9002, 0.904, 0.9076, 0.9101, 0.9131, 0.9144, 0.9165, 0.9198, 0.9222, 0.9238, 0.9245, 0.9245, 0.9264, 0.9267, 0.9279, 0.9303, 0.9319, 0.9331, 0.9334, 0.9346, 0.9349, 0.9366, 0.9389, 0.9396, 0.9401, 0.9419, 0.9431, 0.9439, 0.9446, 0.9446, 0.9458, 0.9465, 0.9466, 0.9481, 0.9488, 0.9487, 0.9498, 0.9497, 0.9507, 0.9511, 0.9513, 0.9525, 0.9522, 0.9528, 0.9532, 0.9535, 0.9537, 0.9547, 0.9564, 0.9554, 0.9555, 0.9551, 0.9547, 0.9555, 0.9558, 0.9562, 0.9571, 0.957, 0.957, 0.9582, 0.9581, 0.9589, 0.9592, 0.9594, 0.9601, 0.96, 0.9612, 0.9613, 0.9611, 0.9621, 0.9625, 0.9618, 0.9622, 0.9633, 0.9627, 0.9631, 0.9624, 0.9629, 0.963, 0.9639, 0.9635, 0.9632, 0.9631, 0.9636, 0.9627, 0.9637, 0.9631, 0.9626, 0.9632, 0.963, 0.9637, 0.9637, 0.9639, 0.9642, 0.964, 0.9639, 0.9641, 0.9637, 0.9633, 0.963, 0.963, 0.9624, 0.9633, 0.9634, 0.9635, 0.9634, 0.963, 0.9632, 0.9636, 0.9643, 0.964, 0.9654, 0.9644, 0.9645, 0.9635, 0.9638, 0.9639, 0.9639, 0.9643, 0.9641, 0.9646, 0.9651, 0.9657, 0.9661, 0.9659, 0.9658, 0.9659, 0.9659, 0.9667, 0.9662, 0.9669, 0.9673, 0.9673, 0.9682, 0.9675, 0.9678, 0.9668, 0.9675, 0.9671, 0.9667, 0.9667, 0.9671, 0.9671, 0.967, 0.967, 0.9662, 0.9669, 0.9675, 0.9676, 0.9677, 0.9671, 0.9681, 0.9684, 0.9678, 0.968, 0.968, 0.9688, 0.9688, 0.9682, 0.9689, 0.9683, 0.968, 0.968, 0.9682, 0.9682, 0.9679, 0.9688, 0.9692, 0.9685, 0.9685, 0.9674, 0.967, 0.9676, 0.968, 0.9682, 0.9677, 0.9678, 0.9676, 0.9665, 0.967, 0.9684, 0.9673, 0.9685, 0.9676, 0.9681, 0.9684, 0.9681, 0.969, 0.9691, 0.9683, 0.9686, 0.9692, 0.9687, 0.9684, 0.9689, 0.9689, 0.9685, 0.969, 0.9692, 0.9688, 0.969, 0.9687, 0.9683, 0.9688, 0.9692, 0.9689, 0.9696, 0.9693, 0.9706]]"
8,0.05,5,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1086, 0.1719, 0.2939, 0.5476, 0.7044, 0.7956, 0.8378, 0.8606, 0.8741, 0.8837, 0.8912, 0.8975, 0.903, 0.9082, 0.9119, 0.9159, 0.9195, 0.9209, 0.9231, 0.925, 0.9265, 0.9295, 0.931, 0.9344, 0.9347, 0.9367, 0.9383, 0.9407, 0.9419, 0.9441, 0.946, 0.948, 0.9477, 0.9496, 0.9509, 0.9523, 0.9536, 0.9534, 0.9549, 0.9557, 0.9564, 0.9561, 0.957, 0.9581, 0.9596, 0.9591, 0.9598, 0.9599, 0.9611, 0.9613, 0.9623, 0.9642, 0.9643, 0.9655, 0.9644, 0.9644, 0.9665, 0.9654, 0.9655, 0.9662, 0.9666, 0.9665, 0.9675, 0.9674, 0.9667, 0.9667, 0.9671, 0.967, 0.9672, 0.9668, 0.967, 0.967, 0.9674, 0.9676, 0.9675, 0.9676, 0.9682, 0.9681, 0.9689, 0.9697, 0.9701]]"
8,0.05,10,"[[0.1135, 0.1135, 0.1135, 0.1141, 0.1142, 0.1547, 0.2134, 0.3193, 0.4475, 0.6052, 0.7183, 0.7884, 0.8221, 0.8474, 0.8631, 0.8699, 0.8836, 0.8924, 0.8974, 0.9031, 0.9072, 0.9121, 0.9143, 0.9179, 0.9226, 0.9246, 0.9277, 0.9294, 0.9329, 0.934, 0.9364, 0.9386, 0.9414, 0.944, 0.9454, 0.9476, 0.9486, 0.95, 0.952, 0.953, 0.9539, 0.9548, 0.9574, 0.9587, 0.9594, 0.9597, 0.9602, 0.9621, 0.9615, 0.9632, 0.9631, 0.9645, 0.9652, 0.9654, 0.966, 0.9678, 0.9673, 0.9677, 0.969, 0.968, 0.9676, 0.9686, 0.97]]"
8,0.05,31,"[[0.1135, 0.1168, 0.1135, 0.1135, 0.1135, 0.1135, 0.138, 0.2854, 0.514, 0.7211, 0.8093, 0.846, 0.8734, 0.8887, 0.8997, 0.906, 0.912, 0.9177, 0.9232, 0.9273, 0.9315, 0.9346, 0.9367, 0.9411, 0.9451, 0.947, 0.9492, 0.9503, 0.9531, 0.9555, 0.9564, 0.9597, 0.9621, 0.9623, 0.9634, 0.9635, 0.9655, 0.9653, 0.967, 0.9679, 0.9685, 0.9684, 0.9699, 0.969, 0.971]]"
8,0.05,100,"[[0.1135, 0.1136, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1931, 0.4144, 0.6981, 0.8221, 0.8694, 0.8877, 0.9039, 0.9136, 0.9211, 0.9274, 0.933, 0.9365, 0.9416, 0.945, 0.9502, 0.952, 0.955, 0.9576, 0.9591, 0.9607, 0.9638, 0.9652, 0.9668, 0.9667, 0.9687, 0.9692, 0.9697, 0.9714]]"
