num_tiles,lr,bl,digital_accuracies
1,0.5,31,"[[0.2982, 0.7667, 0.8608, 0.8862, 0.906, 0.9176, 0.9291, 0.938, 0.9433, 0.9464, 0.9513, 0.9541, 0.957, 0.9602, 0.9622, 0.9644, 0.966, 0.9691, 0.9691, 0.9701]]"
1,0.1,31,"[[0.1256, 0.1135, 0.1448, 0.1135, 0.1375, 0.1275, 0.4268, 0.7467, 0.8437, 0.88, 0.8951, 0.9054, 0.9142, 0.9207, 0.929, 0.9329, 0.9362, 0.9435, 0.9454, 0.9501, 0.9523, 0.956, 0.9609, 0.9628, 0.964, 0.964, 0.9647, 0.9661, 0.9679, 0.9681, 0.9693, 0.9691, 0.9698, 0.9732]]"
1,0.05,31,"[[0.1133, 0.1014, 0.111, 0.1133, 0.1427, 0.3407, 0.5827, 0.7623, 0.8382, 0.8603, 0.8822, 0.8908, 0.8956, 0.9007, 0.9065, 0.9132, 0.9238, 0.9246, 0.932, 0.9374, 0.94, 0.9443, 0.9471, 0.9498, 0.9519, 0.9555, 0.9558, 0.9582, 0.9604, 0.9629, 0.9621, 0.9649, 0.9655, 0.9658, 0.9677, 0.9677, 0.9693, 0.9685, 0.9721]]"

8,0.5,2,"[[0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1135, 0.1007, 0.1137, 0.1722, 0.4225, 0.6013, 0.7154, 0.803, 0.8404, 0.8554, 0.8705, 0.8787, 0.8922, 0.8985, 0.9044, 0.9068, 0.9113, 0.9141, 0.9175, 0.9191, 0.9217, 0.9257, 0.9276, 0.9318, 0.9338, 0.9355, 0.9375, 0.9396, 0.9406, 0.9421, 0.9444, 0.9464, 0.9488, 0.9514, 0.9511, 0.953, 0.9546, 0.9546, 0.9574, 0.9583, 0.9591, 0.9603, 0.9617, 0.9632, 0.964, 0.9651, 0.9654, 0.9657, 0.9666, 0.9662, 0.9672, 0.9664, 0.9671, 0.9677, 0.9677, 0.9687, 0.9685, 0.9691, 0.9696, 0.9694, 0.9689, 0.9699, 0.971]]"
8,0.5,5,"[[0.1135, 0.1135, 0.0974, 0.1135, 0.1136, 0.2056, 0.4827, 0.6887, 0.779, 0.8218, 0.85, 0.8671, 0.8813, 0.89, 0.8977, 0.904, 0.9092, 0.9123, 0.9174, 0.9204, 0.9228, 0.9267, 0.9301, 0.9329, 0.9375, 0.9398, 0.9422, 0.9437, 0.9462, 0.949, 0.9499, 0.9509, 0.9529, 0.9556, 0.9567, 0.9587, 0.9583, 0.9594, 0.9599, 0.9611, 0.963, 0.9639, 0.9641, 0.9646, 0.9661, 0.9661, 0.9661, 0.9675, 0.9679, 0.968, 0.9693, 0.9687, 0.9686, 0.9698, 0.9703]]"
8,0.5,10,"[[0.1135, 0.1955, 0.4481, 0.6781, 0.7758, 0.8197, 0.8494, 0.8734, 0.8875, 0.8941, 0.9036, 0.9072, 0.913, 0.9159, 0.9201, 0.9239, 0.928, 0.9313, 0.9352, 0.9389, 0.9423, 0.9449, 0.949, 0.9514, 0.9532, 0.9548, 0.9575, 0.9595, 0.9603, 0.9609, 0.9633, 0.9634, 0.9654, 0.9668, 0.9683, 0.9682, 0.9695, 0.9698, 0.9709]]"
8,0.5,31,"[[0.1135, 0.1028, 0.1135, 0.1135, 0.1135, 0.1135, 0.101, 0.1135, 0.1028, 0.1265, 0.1135, 0.1135, 0.0909, 0.5499, 0.7961, 0.8649, 0.8905, 0.9056, 0.9146, 0.9232, 0.9305, 0.9355, 0.9421, 0.9454, 0.95, 0.9527, 0.9567, 0.9574, 0.9605, 0.9609, 0.9642, 0.9666, 0.9688, 0.9694, 0.9698, 0.9713]]"
8,0.5,100,"[[0.1135, 0.1239, 0.6259, 0.8281, 0.8713, 0.8904, 0.9045, 0.9145, 0.9237, 0.93, 0.935, 0.9414, 0.9455, 0.9497, 0.9538, 0.9571, 0.9598, 0.9627, 0.9643, 0.9672, 0.9677, 0.9693, 0.9713]]"


