bl,iters,iters_zero,std
1,325066.0,0,0.01998712867498398
1,241580.0,500,0.019314134493470192
1,183182.0,1000,0.018741251900792122
1,134192.0,1500,0.020090805366635323
1,108820.0,2000,0.01943589188158512
1,91484.0,2500,0.019502894952893257
1,78950.0,3000,0.019992917776107788
1,75040.0,3500,0.02036845125257969
1,80146.0,4000,0.019016720354557037
1,74668.0,4500,0.02004171721637249
1,73992.0,5000,0.020167022943496704
