bl,w_init,iters,iters_zero,std
1,0.1,123186.0,0,0.019079560413956642
1,0.1,78910.0,1000,0.020328344777226448
1,0.1,72364.0,2000,0.020433487370610237
1,0.1,77088.0,3000,0.01930616982281208
1,0.1,77696.0,4000,0.019218742847442627
1,0.1,73698.0,5000,0.0201853197067976
1,0.1,79500.0,6000,0.019136609509587288
1,0.1,75502.0,7000,0.02027786709368229
1,0.1,80618.0,8000,0.0193281639367342
1,0.1,76718.0,9000,0.020511403679847717
1,0.1,81442.0,10000,0.01948161981999874
1,0.2,197078.0,0,0.019450118765234947
1,0.2,110466.0,1000,0.019847800955176353
1,0.2,76872.0,2000,0.02055606245994568
1,0.2,74736.0,3000,0.019833089783787727
1,0.2,76422.0,4000,0.019747434183955193
1,0.2,72620.0,5000,0.020590705797076225
1,0.2,73718.0,6000,0.020552337169647217
1,0.2,77266.0,7000,0.01989763230085373
1,0.2,75522.0,8000,0.020440928637981415
1,0.2,79168.0,9000,0.020008282735943794
1,0.2,74092.0,10000,0.021340124309062958
1,0.3,270872.0,0,0.020427532494068146
1,0.3,145060.0,1000,0.020271820947527885
1,0.3,92650.0,2000,0.019671186804771423
1,0.3,72090.0,3000,0.020881928503513336
1,0.3,67798.0,4000,0.02149743027985096
1,0.3,74874.0,5000,0.019990958273410797
1,0.3,76560.0,6000,0.01985105685889721
1,0.3,78246.0,7000,0.019675767049193382
1,0.3,79148.0,8000,0.019664494320750237
1,0.3,83186.0,9000,0.01906927116215229
1,0.3,80364.0,10000,0.019851932302117348
1,0.4,323890.0,0,0.020330486819148064
1,0.4,181810.0,1000,0.019175173714756966
1,0.4,102842.0,2000,0.020735420286655426
1,0.4,78166.0,3000,0.0201271940022707
1,0.4,75442.0,4000,0.01977948658168316
1,0.4,78108.0,5000,0.01935438998043537
1,0.4,74992.0,6000,0.02018517255783081
1,0.4,78834.0,7000,0.0195603147149086
1,0.4,83362.0,8000,0.018990470096468925
1,0.4,83578.0,9000,0.01927473396062851
1,0.4,80364.0,10000,0.02009589783847332
