bl,iters,iters_zero,std
1,55896.0,0,0.022409601137042046
1,41956.0,500,0.02108907513320446
1,29640.0,1000,0.022374682128429413
1,24892.0,1500,0.02237245813012123
1,23320.0,2000,0.022645045071840286
1,24884.0,2500,0.021875806152820587
1,24776.0,3000,0.022491782903671265
1,25756.0,3500,0.022139541804790497
1,25584.0,4000,0.022649599239230156
1,26028.0,4500,0.021828871220350266
1,26360.0,5000,0.022198962047696114
