tiles,bl,lr,time
1,31,0.5,1834502.6
1,31,0.1,3114909.28
1,31,0.05,3572197.38
8,2,0.5,501956.96286586986
8,5,0.5,489298.1428658699
8,10,0.5,533769.8028658698
8,31,0.5,810108.8428658701
8,100,0.5,1684145.7428658698
8,2,0.1,972657.4828658698
8,5,0.1,864344.1228658698
8,10,0.1,934720.0628658698
8,31,0.1,1318765.52286587
8,100,0.1,2570039.32286587
8,2,0.05,2528015.7228658698
8,5,0.05,1239390.10286587
8,10,0.05,1109046.26286587
8,31,0.05,1645759.10286587
8,100,0.05,3455932.90286587
