tiles,bl,time
1,2,6606469.82
1,5,4565210.740000001
1,10,3270443.1
1,31,3023451.66
1,100,3997848.32
4,2,1964136.0716953587
4,5,1321094.791695359
4,10,1292665.351695359
4,31,1569878.551695359
4,100,2890425.5916953594
8,2,972657.4828658698
8,5,864344.1228658698
8,10,934720.0628658698
8,31,1318765.52286587
8,100,2570039.32286587
16,2,640066.1987865296
16,5,604232.1187865295
16,10,698805.3187865295
16,31,1176778.5187865298
16,100,2656417.5587865296
32,2,438709.4477127795
32,5,474139.2377127795
32,10,586717.3177127795
32,31,1166600.8777127794
32,100,2601137.1777127795
