tiles,bl,epochs
1,2,101.0
1,5,67.0
1,10,45.0
1,31,34.0
1,100,26.0
4,2,106.0
4,5,62.0
4,10,50.0
4,31,35.0
4,100,27.0
8,2,94.0
8,5,66.0
8,10,53.0
8,31,36.0
8,100,26.0
16,2,100.0
16,5,66.0
16,10,51.0
16,31,36.0
16,100,28.0
32,2,99.0
32,5,66.0
32,10,50.0
32,31,38.0
32,100,28.0
