tiles,bl,lr,fixed_energy_analog,epoch_energy_analog,fixed_energy_digital,epoch_energy_digital,total_fixed_energy,total_epoch_energy,total_energy
1,31,0.05,457933087.96250004,4013920309960.158,1229143256.18,659760185325.228,1687076344.1425002,4673680495285.387,4675367571629.529
1,31,0.1,457933087.96250004,3499315142016.548,1229143256.18,575175546180.968,1687076344.1425002,4074490688197.5156,4076177764541.658
1,31,0.5,457933087.96250004,2058420671774.44,1229143256.18,338338556577.04,1687076344.1425002,2396759228351.48,2398446304695.6226
