Meta_op,Op,energy,tiles
backward,abs,18817440000.0,1
backward,act-derivative,55783679999.99999,1
backward,arithmetic,111434.4,1
backward,buffer-read,182904000.0,1
backward,buffer-write,343632000.0,1
backward,max,18817440000.0,1
backward,vector-element,37634880000.0,1
forward,abs,55852989311.99999,1
forward,activation,18840797824.0,1
forward,arithmetic,111449.25,1
forward,buffer-read,563047162.4,1
forward,buffer-write,615040894.4,1
forward,max,55852989311.99999,1
forward,vector-add,312435340.8,1
forward,vector-element,130523418623.99998,1
get_weights,vector-element,54884.2,1
program,arithmetic,16760.7,1
program,comparison,4187.7,1
program,getter_setter,5.94,1
program,loop_overhead,4187.7,1
program,pulse-generation,310838000.0,1
program,randn,145673412.79999998,1
program,variance,147555833.39999998,1
program,vector-add,0.0,1
program,vector-element,145673412.79999998,1
read,getter_setter,25.740000000000002,1
read,lstsq,249513523.19999996,1
read,randn,207927936.0,1
read,transpose,1379220.48,1
read,vector-element,23357823.999999996,1
transfer,arithmetic,297905.85000000003,1
transfer,buffer-read,6326382.19,1
transfer,buffer-write,5421424.15,1
transfer,comparison,37144.8,1
transfer,conditional,74289.6,1
transfer,eye,385.44000000000005,1
transfer,vector-add,14635051.2,1
transfer,vector-element,1470896560.0,1
transfer,vector-mult,294179312.0,1
update,abs,74895299312.0,1
update,arithmetic,780040.8,1
update,buffer-read,562416000.0,1
update,comparison,37144.8,1
update,conditional,668606.4,1
update,getter_setter,148579.2,1
update,max,74601120000.0,1
update,pulse-generation,74601120000.0,1
update,sum,294179312.0,1
update,vector-element,55783679999.99999,1
backward,abs,18817440000.0,4
backward,act-derivative,55783679999.99999,4
backward,arithmetic,111434.4,4
backward,buffer-read,182904000.0,4
backward,buffer-write,343632000.0,4
backward,max,18817440000.0,4
backward,vector-element,37634880000.0,4
forward,abs,56060917247.99999,4
forward,activation,18910871296.0,4
forward,arithmetic,111449.25,4
forward,buffer-read,571473961.6,4
forward,buffer-write,622109913.6,4
forward,max,56060917247.99999,4
forward,vector-add,313597363.2,4
forward,vector-element,131664717055.99998,4
get_weights,vector-element,54884.2,4
program,arithmetic,119654.70000000001,4
program,comparison,29908.230000000003,4
program,getter_setter,11.88,4
program,loop_overhead,29908.230000000003,4
program,pulse-generation,1426646203.6,4
program,randn,427358071.99999994,4
program,variance,986810433.5999999,4
program,vector-add,4635838.680000001,4
program,vector-element,427358071.99999994,4
read,getter_setter,46.53,4
read,lstsq,374270284.79999995,4
read,randn,415855871.99999994,4
read,transpose,2068830.72,4
read,vector-element,23357823.999999996,4
transfer,arithmetic,297905.85000000003,4
transfer,buffer-read,6326382.19,4
transfer,buffer-write,5421424.15,4
transfer,comparison,37144.8,4
transfer,conditional,74289.6,4
transfer,eye,385.44000000000005,4
transfer,vector-add,14635051.2,4
transfer,vector-element,1470896560.0,4
transfer,vector-mult,294179312.0,4
update,abs,74895299312.0,4
update,arithmetic,780040.8,4
update,buffer-read,562416000.0,4
update,comparison,37144.8,4
update,conditional,668606.4,4
update,getter_setter,148579.2,4
update,max,74601120000.0,4
update,pulse-generation,74601120000.0,4
update,sum,294179312.0,4
update,vector-element,55783679999.99999,4
backward,abs,18817440000.0,8
backward,act-derivative,55783679999.99999,8
backward,arithmetic,111434.4,8
backward,buffer-read,182904000.0,8
backward,buffer-write,343632000.0,8
backward,max,18817440000.0,8
backward,vector-element,37634880000.0,8
forward,abs,56338154495.99999,8
forward,activation,19004302592.0,8
forward,arithmetic,111449.25,8
forward,buffer-read,567465299.2,8
forward,buffer-write,619527155.2,8
forward,max,56338154495.99999,8
forward,vector-add,315146726.40000004,8
forward,vector-element,131493748991.99998,8
get_weights,vector-element,54884.2,8
program,arithmetic,257770.26000000004,8
program,comparison,64433.16,8
program,getter_setter,19.8,8
program,loop_overhead,64433.16,8
program,pulse-generation,2911155557.5999994,8
program,randn,427668193.59999996,8
program,variance,2102791846.8,8
program,vector-add,10808072.88,8
program,vector-element,427668193.59999996,8
read,getter_setter,74.25,8
read,lstsq,540612633.5999999,8
read,randn,693093119.9999999,8
read,transpose,2988311.04,8
read,vector-element,23357823.999999996,8
transfer,arithmetic,297905.85000000003,8
transfer,buffer-read,6326382.19,8
transfer,buffer-write,5421424.15,8
transfer,comparison,37144.8,8
transfer,conditional,74289.6,8
transfer,eye,385.44000000000005,8
transfer,vector-add,14635051.2,8
transfer,vector-element,1470896560.0,8
transfer,vector-mult,294179312.0,8
update,abs,74895299312.0,8
update,arithmetic,780040.8,8
update,buffer-read,562416000.0,8
update,comparison,37144.8,8
update,conditional,668606.4,8
update,getter_setter,148579.2,8
update,max,74601120000.0,8
update,pulse-generation,74601120000.0,8
update,sum,294179312.0,8
update,vector-element,55783679999.99999,8
backward,abs,18817440000.0,16
backward,act-derivative,55783679999.99999,16
backward,arithmetic,111434.4,16
backward,buffer-read,182904000.0,16
backward,buffer-write,343632000.0,16
backward,max,18817440000.0,16
backward,vector-element,37634880000.0,16
forward,abs,56892628991.99999,16
forward,activation,19191165184.0,16
forward,arithmetic,111449.25,16
forward,buffer-read,572514598.4,16
forward,buffer-write,624654310.4,16
forward,max,56892628991.99999,16
forward,vector-add,318245452.8,16
forward,vector-element,132602697983.99998,16
get_weights,vector-element,54884.2,16
program,arithmetic,536167.5,16
program,comparison,134024.55,16
program,getter_setter,35.64,16
program,loop_overhead,134024.55,16
program,pulse-generation,5935185507.2,16
program,randn,433582473.59999996,16
program,variance,4376945260.2,16
program,vector-add,23376312.96,16
program,vector-element,433582473.59999996,16
read,getter_setter,129.69,16
read,lstsq,873297331.1999999,16
read,randn,1247567615.9999998,16
read,transpose,4827271.68,16
read,vector-element,23357823.999999996,16
transfer,arithmetic,297905.85000000003,16
transfer,buffer-read,6326382.19,16
transfer,buffer-write,5421424.15,16
transfer,comparison,37144.8,16
transfer,conditional,74289.6,16
transfer,eye,385.44000000000005,16
transfer,vector-add,14635051.2,16
transfer,vector-element,1470896560.0,16
transfer,vector-mult,294179312.0,16
update,abs,74895299312.0,16
update,arithmetic,780040.8,16
update,buffer-read,562416000.0,16
update,comparison,37144.8,16
update,conditional,668606.4,16
update,getter_setter,148579.2,16
update,max,74601120000.0,16
update,pulse-generation,74601120000.0,16
update,sum,294179312.0,16
update,vector-element,55783679999.99999,16
backward,abs,18817440000.0,32
backward,act-derivative,55783679999.99999,32
backward,arithmetic,111434.4,32
backward,buffer-read,182904000.0,32
backward,buffer-write,343632000.0,32
backward,max,18817440000.0,32
backward,vector-element,37634880000.0,32
forward,abs,58001577983.99999,32
forward,activation,19564890368.0,32
forward,arithmetic,111449.25,32
forward,buffer-read,582613196.8,32
forward,buffer-write,634908620.8000001,32
forward,max,58001577983.99999,32
forward,vector-add,324442905.6,32
forward,vector-element,134820595967.99998,32
