Meta_op,Op,energy,tiles
get_weights,vector-element,54884.2,32
program,arithmetic,1082665.98,32
program,comparison,270633.33,32
program,getter_setter,67.32000000000001,32
program,loop_overhead,270633.33,32
program,pulse-generation,11868680787.999998,32
program,randn,435109201.59999996,32
program,variance,8848723492.8,32
program,vector-add,48091985.04,32
program,vector-element,435109201.59999996,32
read,getter_setter,240.57000000000002,32
read,lstsq,1538666726.3999999,32
read,randn,2356516607.9999995,32
read,transpose,8505192.96,32
read,vector-element,23357823.999999996,32
transfer,arithmetic,297905.85000000003,32
transfer,buffer-read,6326382.19,32
transfer,buffer-write,5421424.15,32
transfer,comparison,37144.8,32
transfer,conditional,74289.6,32
transfer,eye,385.44000000000005,32
transfer,vector-add,14635051.2,32
transfer,vector-element,1470896560.0,32
transfer,vector-mult,294179312.0,32
update,abs,74895299312.0,32
update,arithmetic,780040.8,32
update,buffer-read,562416000.0,32
update,comparison,37144.8,32
update,conditional,668606.4,32
update,getter_setter,148579.2,32
update,max,74601120000.0,32
update,pulse-generation,74601120000.0,32
update,sum,294179312.0,32
update,vector-element,55783679999.99999,32
