tiles,epoch_energy,fixed_energy,epochs,energy_per_epoch
1,676672234803.6799,1231999214.66,40,16916805870.092
4,678316120420.48,4088595845.17,40,16957903010.512
8,678788016090.88,7140585367.949999,40,16969700402.272
16,681206051847.6799,13352581336.57,40,17030151296.191998
32,686042123361.28,25564440145.129997,40,17151053084.032001
