tiles,bl,fixed_energy,epoch_energy
1,2,459984100.6075001,792246342060.922
1,5,459984100.6075001,1184531591244.374
1,10,459984100.6075001,1533247379492.49
1,31,459984100.6075,3396394108427.826
1,100,459984100.6075,8557607447706.771
4,2,3006690387.6675,833226758385.0099
4,5,3006690387.6675,1097163320957.27
4,10,3006690387.6675,1704438529804.2502
4,31,3006690387.6675,3602817406862.975
4,100,3006690387.6675,8887194574094.295
8,2,6317978206.495,740054595560.686
8,5,6317978206.495,1168759285938.354
8,10,6317978206.495,1807356287556.5571
8,31,6317978206.495,3706197538657.2837
8,100,6317978206.495,8558358796763.593
16,2,13090001407.455002,790594756153.7
16,5,13090001407.455002,1170939023861.442
16,10,13090001407.455002,1740838506438.3867
16,31,13090001407.455,3707386486615.332
16,100,13090001407.455,9217618826123.035
32,2,26366791115.292503,789228022361.427
32,5,26366791115.292503,1175298499707.618
32,10,26366791115.292503,1710007051293.6501
32,31,26366791115.292503,3915862403783.174
32,100,26366791115.292503,9219468300724.443
