Meta_op,Op,energy,tiles
program,randn,430269840.0,16
program,variance,4338705619.2,16
program,vector-add,23168068.44,16
program,vector-element,430269840.0,16
read,getter_setter,129.69,16
read,lstsq,873297331.1999999,16
read,randn,1247567615.9999998,16
read,transpose,4827271.68,16
read,vector-element,23357823.999999996,16
transfer,abs,426560002.4,16
transfer,arithmetic,701198.8500000001,16
transfer,buffer-read,80972621.4,16
transfer,buffer-write,63154132.86,16
transfer,comparison,107719.92,16
transfer,conditional,807899.4,16
transfer,eye,385.44000000000005,16
transfer,getter_setter,53859.96,16
transfer,sum,426560002.4,16
transfer,vector-add,346606795.92,16
transfer,vector-element,27726400155.999996,16
transfer,vector-mult,426560002.4,16
update,abs,108171623999.99998,16
update,arithmetic,861759.36,16
update,buffer-read,815503200.0,16
update,conditional,269299.80000000005,16
update,getter_setter,161579.88,16
update,max,108171623999.99998,16
update,pulse-generation,108171623999.99998,16
update,vector-element,80886336000.0,16
backward,abs,33871391999.999996,32
backward,act-derivative,100410623999.99998,32
backward,arithmetic,200581.91999999998,32
backward,buffer-read,329227200.0,32
backward,buffer-write,618537600.0,32
backward,max,33871391999.999996,32
backward,vector-element,67742783999.99999,32
forward,abs,102628521983.99998,32
forward,activation,34618842368.0,32
forward,arithmetic,200596.77,32
forward,buffer-read,1032545996.8000001,32
forward,buffer-write,1126428620.8,32
forward,max,102628521983.99998,32
forward,vector-add,574081305.6,32
forward,vector-element,239128435967.99997,32
get_weights,vector-element,54884.2,32
program,arithmetic,1086569.22,32
program,comparison,271609.14,32
program,getter_setter,67.32000000000001,32
program,loop_overhead,271609.14,32
program,pulse-generation,11979044317.399998,32
program,randn,436085097.59999996,32
program,variance,8926060066.8,32
program,vector-add,48523752.42,32
program,vector-element,436085097.59999996,32
read,getter_setter,240.57000000000002,32
read,lstsq,1538666726.3999999,32
read,randn,2356516607.9999995,32
read,transpose,8505192.96,32
read,vector-element,23357823.999999996,32
transfer,abs,529522761.59999996,32
transfer,arithmetic,870319.89,32
transfer,buffer-read,377818366.88000005,32
transfer,buffer-write,284666084.22,32
transfer,comparison,133721.28,32
transfer,conditional,1002909.6000000001,32
transfer,eye,385.44000000000005,32
transfer,getter_setter,66860.64,32
transfer,sum,529522761.59999996,32
transfer,vector-add,851759979.8399999,32
transfer,vector-element,68308436246.399994,32
transfer,vector-mult,529522761.59999996,32
update,abs,134282015999.99998,32
update,arithmetic,1069770.24,32
update,buffer-read,1012348800.0,32
update,conditional,334303.2,32
update,getter_setter,200581.91999999998,32
update,max,134282015999.99998,32
update,pulse-generation,134282015999.99998,32
update,vector-element,100410623999.99998,32
