tiles,bl,lr,time
8,2,0.5,598840.8175528586
8,5,0.5,505007.5575528586
8,10,0.5,383211.81447593565
8,31,0.5,439624.3313990126
8,100,0.5,463353.57139901246
8,2,0.1,2137798.1467836276
8,5,0.1,1044007.2190913204
8,10,0.1,765044.9221682433
8,31,0.1,594432.5913990127
8,100,0.1,719074.3313990125
8,2,0.05,5207066.977552859
8,5,0.05,1502156.9313990125
8,10,0.05,1032328.0975528586
8,31,0.05,796874.1621682431
8,100,0.05,837099.2975528586
