tiles,bl,fixed_energy,epoch_energy
1,2,1229143256.18,1708609710714.052
1,5,1229143256.18,1133434164533.084
1,10,1229143256.18,761261752298.34
1,31,1229143256.18,558258618352.116
1,100,1229143256.18,439840123550.152
4,2,4104791560.87,2571113910024.7163
4,5,4104791560.87,1464343021603.4807
4,10,4104791560.87,1089743643983.9857
4,31,4104791560.87,732171510801.7404
4,100,4104791560.87,527844577554.7431
8,2,7170174358.07,4222554211535.9556
8,5,7170174358.07,1973958269620.467
8,10,7170174358.07,1356023506956.6687
8,31,7170174358.07,841077871403.5034
8,100,7170174358.07,617934762663.7985
16,2,13250107285.83,5930178124886.689
16,5,13250107285.83,2494163152525.8726
16,10,13250107285.83,1674403235262.124
16,31,13250107285.83,976735220569.5724
16,100,13250107285.83,749993115794.4932
32,2,25754529662.77,9617113074705.95
32,5,25754529662.77,3451375159520.6396
32,10,25754529662.77,1923422614941.1897
32,31,25754529662.77,1240337947952.73
32,100,25754529662.77,880819702169.33
