tiles,bl,lr,fixed_energy_analog,epoch_energy_analog,fixed_energy_digital,epoch_energy_digital,total_fixed_energy,total_epoch_energy,total_energy
1,31,0.05,459984100.6075,4013920309960.158,1231999214.66,659755428933.588,1691983315.2675002,4673675738893.746,4675367722209.014
1,31,0.1,459984100.6075,3499315142016.548,1231999214.66,575171399583.1279,1691983315.2675002,4074486541599.676,4076178524914.944
1,31,0.5,459984100.6075,2058420671774.44,1231999214.66,338336117401.84,1691983315.2675002,2396756789176.28,2398448772491.5474
8,2,0.05,6317978206.495,1936738622424.7744,7140585367.949999,4174546298958.912,13458563574.445,6111284921383.686,6124743484958.131
8,2,0.1,6317978206.495,740054595560.686,7140585367.949999,1595151837813.568,13458563574.445,2335206433374.254,2348664996948.6987
8,2,0.5,6317978206.495,377900219009.712,7140585367.949999,814545619309.0559,13458563574.445,1192445838318.768,1205904401893.2131
8,5,0.05,6317978206.495,1682305032790.0552,7140585367.949999,1612121538215.8398,13458563574.445,3294426571005.895,3307885134580.34
8,5,0.1,6317978206.495,1168759285938.354,7140585367.949999,1120000226549.952,13458563574.445,2288759512488.3057,2302218076062.7505
8,5,0.5,6317978206.495,655213539086.6531,7140585367.949999,627878914884.064,13458563574.445,1283092453970.717,1296551017545.162
8,10,0.05,6317978206.495,2148366907850.247,7140585367.949999,1069091125343.136,13458563574.445,3217458033193.383,3230916596767.828
8,10,0.1,6317978206.495,1807356287556.557,7140585367.949999,899394121320.416,13458563574.445,2706750408876.973,2720208972451.418
8,10,0.5,6317978206.495,1023031860881.07,7140585367.949999,509091012068.16,13458563574.445,1532122872949.23,1545581436523.675
8,31,0.05,6317978206.495,4632746923321.6045,7140585367.949999,763636518102.24,13458563574.445,5396383441423.845,5409842004998.29
8,31,0.1,6317978206.495,3706197538657.284,7140585367.949999,610909214481.792,13458563574.445,4317106753139.076,4330565316713.521
8,31,0.5,6317978206.495,2264898495846.1177,7140585367.949999,373333408849.984,13458563574.445,2638231904696.1016,2651690468270.5464
8,100,0.05,6317978206.495,11520867611027.914,7140585367.949999,593939514079.52,13458563574.445,12114807125107.434,12128265688681.88
8,100,0.1,6317978206.495,8558358796763.593,7140585367.949999,441212210459.072,13458563574.445,8999571007222.664,9013029570797.11
8,100,0.5,6317978206.495,5595849982499.272,7140585367.949999,288484906838.624,13458563574.445,5884334889337.896,5897793452912.342
