tiles,bl,lr,fixed_energy_analog,epoch_energy_analog,fixed_energy_digital,epoch_energy_digital,total_fixed_energy,total_epoch_energy,total_energy
1,31,0.05,459984100.6075,4013920309960.158,1231999214.66,659755428933.588,1691983315.2675002,4673675738893.746,4675367722209.014
1,31,0.1,459984100.6075,3499315142016.548,1231999214.66,575171399583.1279,1691983315.2675002,4074486541599.676,4076178524914.9434
1,31,0.5,459984100.6075,2058420671774.44,1231999214.66,338336117401.83997,1691983315.2675002,2396756789176.28,2398448772491.5474
